O,J,G,A,Z
r,51,98.38043776383061,47,53.93904172972428
l,8,3.6805032316279074,43,93.2788616084809
m,99,26.31610727883419,6,46.37982241650229
s,73,7.352797970842905,52,52.14244636690539
i,49,56.198807843798015,70,35.83524123313908
v,22,75.19255823470667,66,99.71244198918883
e,87,15.617448129293221,80,69.2035048466199
q,100,79.43454076033606,49,1.7237250775245627
s,24,67.23577717384953,18,48.568277004141734
b,32,32.91250501849486,83,2.526692688536847
b,32,50.84890342197485,15,38.34668365324525
j,71,77.9777414690884,8,20.529229528174355
w,79,51.044241781513755,78,34.074776005131135
v,56,93.17301752939261,44,89.62715864049245
h,94,30.819153705985546,73,66.87045453717421
j,32,77.11470287749972,2,63.47075905895666
j,96,24.343178434083224,43,86.90605116914352
b,25,68.65719939212282,3,26.64377461093428
i,64,45.193242047509386,38,80.38517571607267
k,50,94.89699642174969,97,79.58984350629635
c,35,73.40212676660501,84,43.09576859387697
t,36,49.88291558574935,40,0.28008925357724257
t,100,47.53784136909345,63,52.29367409309533
v,77,70.58758393489039,83,11.366071042084535
q,84,64.36801333392525,32,80.97847284180297
w,70,82.80861811246089,77,54.68192158330047
o,44,26.42583229743639,93,38.37868821191201
p,35,37.12260683549972,91,42.46548107674225
g,23,30.276592519201838,52,88.51875912798877
u,61,59.832633667847844,77,67.58621686464627
w,74,24.054813172970636,64,5.126620166532014
k,67,38.032578444623134,96,55.76117505004454
b,23,4.83174861926543,50,78.50349989311731
k,20,56.81915821034627,26,68.22269370437056
s,65,53.11926136693348,20,36.708362477903535
c,64,91.53782433681683,22,2.729195969017939
a,50,9.015376030306921,1,23.772976313082527
b,30,52.25583474400979,94,42.71685679279773
v,98,55.477396594403395,61,36.61097985530589
j,90,66.3927201584108,75,45.87661347556426
p,57,25.916305589942002,46,91.54297107229932
v,59,50.76344887735515,24,56.791169988979576
i,25,33.92071115962501,41,74.70492634793148
f,28,32.6566153468687,39,56.71429401262517
f,73,50.1218993862503,30,84.42406432632016
u,98,82.14687487919193,80,89.98622085506466
f,83,57.45886401887487,58,12.386236593670452
a,23,17.561576875662933,45,2.3123118492626493
q,85,7.791067279631514,63,51.76961806976792
o,17,54.625681679349505,90,66.57533678173495
w,89,85.97987837762815,55,35.32094036763023
r,67,7.775194664133577,31,26.315288051929997
f,94,73.87095358563572,11,25.37071918455628
e,19,31.83540986167539,48,69.16293103811232
u,97,39.002145216043026,87,29.954069715728295
t,45,93.53913461155122,4,64.88414113292913
d,7,30.775540190020013,73,47.078180754914314
j,79,12.336120405976313,30,70.07989307964864
a,2,68.23194927764908,11,44.07749414743238
o,62,51.321618219299594,76,7.703651467311213
f,39,4.073154652663325,22,48.0429861727272
d,54,57.22262842586701,58,30.355563874183243
w,25,74.59031298079795,35,7.163386687686346
e,51,79.99821023600376,41,9.937693575663308
q,31,86.025605387623,33,14.869304462538102
m,47,23.44892535573465,8,66.84152656140459
p,6,77.68849177369316,49,16.394478376359412
j,34,51.20054939059545,16,82.01762667010526
f,15,67.45171697269285,8,30.36356811724921
m,63,72.47888166879075,20,98.97181121727023
v,75,58.833773826447874,92,77.49687257990566
a,4,63.86811088143498,38,65.3821026780285
c,56,63.68467777612031,15,80.367511096137
c,33,10.297752001931926,34,39.90631678257059
s,43,54.733860113436485,0,17.71992180447387
n,94,27.488379090812597,60,76.28972810249483
u,29,32.58722036158651,71,6.385871480485705
l,93,41.94038143186324,13,2.7389249442523522
f,27,19.241215493776252,87,30.01620465433531
s,67,32.64105080035994,96,26.751756586157683
i,87,14.566280200733871,30,27.906047207941697
t,0,95.17642762478256,8,9.513560010231636
o,28,50.00076385874962,89,25.63809407127161
x,70,23.23582957874446,60,2.5023959565612097
t,46,77.21959868577713,8,88.42929855955813
l,11,36.39273569827288,79,0.18386284287356114
p,23,67.57621694098754,68,57.76038407280344
t,47,21.373854213638644,42,60.175475650826236
r,26,0.0036310398518368814,80,36.43583037099645
a,64,42.41712028484868,86,11.866686546258132
z,18,1.6029695855397819,15,60.449243632882144
t,93,77.58477378985383,25,76.03201683538184
p,2,43.381887083174874,27,84.89044872006846
t,11,68.16532651425833,59,19.915165567016047
k,46,81.6362417090311,17,36.73129609900441
e,5,19.008033856751393,77,12.591343379655696
u,33,91.66180579373808,59,27.518320863568334
b,91,76.7018734463951,67,7.99601713268877
y,83,50.73518351547538,13,98.96091159396575
j,81,23.710103976953,84,6.181051047853803
