J,M,Z,A,I
n,73,19.432357901096363,58,6.6073573524858435
i,68,11.918158588106465,83,39.91381528604406
v,38,25.81951812050538,66,58.04877965580511
g,100,50.18918009872026,46,80.10574169060145
q,85,91.98774758136142,80,86.85256365926818
n,25,22.7384880547405,82,37.753830066164554
k,86,51.67675162027767,9,8.842392092956363
j,43,69.09588825027636,10,10.099938873747883
d,28,53.77349360260176,18,37.16029022601779
m,72,94.9754322329649,92,94.7468779318124
f,95,38.475141384190856,61,80.60857872038608
i,81,97.63626930991045,57,54.78324100253522
e,65,78.64351579443958,59,53.34457511399724
g,52,1.3959674341344264,68,5.608575683025019
j,48,28.889795610383253,68,25.346447263078197
u,59,2.493935312783513,81,56.85922327211552
o,63,95.26721344376445,35,42.708975506181154
r,3,6.611852658700812,35,1.4186740537194709
t,91,94.97347708720116,72,22.219094080025737
t,68,78.03916295752987,95,38.440508626896154
o,35,3.009652161894716,6,21.323180725403844
v,4,16.698821612609095,54,23.82606239136943
k,72,89.64788743622083,69,84.44167969629657
e,10,45.07313192837989,67,34.958710529122975
h,29,78.91747048582155,52,13.651990433934102
k,54,93.46867380500034,22,41.63370314899921
y,23,1.734995428134678,96,81.57533379739111
b,48,76.68621787443473,42,82.2203275392532
k,58,42.09618043611901,78,31.588118302785915
z,24,71.26103308073351,6,12.580690304533226
z,47,42.736747506411845,92,36.305686969744414
z,46,44.28397412030597,79,88.45490788391423
z,45,2.1281546634623227,17,82.36983636577129
c,33,52.42108154466949,89,20.103467527739127
w,32,36.250605734522146,9,83.38908321186426
l,27,91.84892747963602,73,71.04439780876935
s,51,37.19665545111893,32,67.85644693095513
k,73,74.39472885716351,97,28.121153565029534
w,66,77.06136246843533,33,15.099216037774553
s,78,82.31811796324952,14,59.95898824510601
r,20,58.574966525222095,58,40.483172505303585
a,86,15.047307505035102,44,57.29405369486044
i,92,98.85065517699158,39,6.037135573282104
s,98,98.93693366798635,38,52.471542812304065
l,51,72.8713528831199,53,90.31591903206808
u,50,86.66741501574813,14,13.756091883595866
q,15,12.095637413251248,100,79.01643942604174
j,33,65.23985699576805,58,6.9801458094283175
p,2,79.07263011283248,89,21.010007437448884
k,73,39.63877142542093,73,4.724363300815848
a,89,14.502500789123152,4,62.17735038373875
u,95,20.255187856716628,77,72.22606433502317
t,88,61.20868442539208,53,76.3153578916026
z,4,4.663407789741514,10,17.92236066065619
r,46,91.635011144456,92,55.63181513145062
