A,Z,W,J,K
q,24,29.17321397907351,58,64.70961179371926
x,94,85.83829250407265,71,59.14405107843129
v,20,91.43582769801839,19,20.102519004171736
p,100,52.810705471084894,57,67.15619179970328
t,41,29.489065457632456,48,43.491840090953474
y,82,40.56479979946309,25,81.84970888383337
w,82,32.32951911538705,94,76.67360160084277
n,33,26.64232140653069,69,87.88938844624174
l,61,55.86228685858662,77,43.6402577763192
l,82,91.98661942209031,64,75.2799840659233
o,46,70.08871327610848,48,30.254597768713488
q,30,47.62371710284611,91,86.77748165067493
x,22,24.66546818661277,90,4.232024806860579
n,71,40.57410977281312,7,0.49019729526950107
d,90,34.1611644589661,35,20.952778691669916
u,85,45.11711059888886,2,74.41829335313392
b,90,10.89150967250977,18,5.56567180410823
a,91,15.870770292695669,22,88.27911844837195
l,72,95.32893276392088,36,23.830326881676367
u,97,56.208577125710434,47,48.90459433650444
h,83,43.26312752845084,87,58.74017338553005
l,17,90.06103980110348,34,86.6767059781394
t,64,56.932303230553046,97,99.50348169427718
o,77,71.76670118927436,21,97.8232355452235
n,3,67.58201620472174,30,91.62702327650165
m,46,24.833979763987635,50,42.15514681851933
l,68,14.348516589887018,74,9.200867127644418
i,7,0.24972312565970656,77,10.95054649571361
k,77,63.310025018263936,34,13.116724806848223
o,80,22.32079023412794,11,96.69870155484215
d,85,20.933233183184164,58,74.72399016755047
k,79,35.22158546753119,50,2.548358534784212
z,12,9.498699421127654,59,1.2558753095910924
l,6,22.348861914909392,95,99.22997198090962
n,35,46.50015704507497,71,79.52455970804444
m,58,0.9480316377571962,86,53.212865570350985
h,98,33.176794779728844,77,83.1356339584365
s,93,56.33332497262923,87,15.466361719781963
w,48,83.94070966974706,14,82.83508259906095
m,32,96.0094488924244,63,33.95105269878426
t,40,2.0696393189846063,23,14.248227810040481
c,22,41.86671472802273,2,32.002398101413206
i,100,95.01085028828683,49,70.5763059937802
c,25,78.09244957043454,57,19.13860306095385
p,9,75.95532462294628,88,8.012231010444527
n,91,38.548906481195125,28,12.369531917723798
h,82,65.26600483186549,97,72.18535022259192
m,44,38.08301449921775,67,43.903905215381386
e,84,18.696253023178457,48,45.78712182303386
k,100,70.2391803084499,68,66.1617391185018
w,81,44.241873554695424,53,34.88113212502357
a,53,32.823849828508244,29,39.422549564168776
n,10,16.843689358358894,34,46.450053093041
j,64,46.90415328740213,82,80.51011591565458
i,63,59.00892343179949,19,48.38389010288725
b,64,90.7294979860566,82,6.071422783697178
l,65,49.54011530784298,47,14.803907618903867
f,35,86.42708648775542,19,14.798220636041082
z,85,93.32661924003632,35,95.334673570147
l,83,24.474165927825265,50,34.25878821822419
l,52,35.369409675403595,55,78.21540572153368
k,61,76.26624394148863,75,48.40109016342217
d,32,9.15680738332294,88,65.23598312979252
d,38,75.6241417316286,39,76.1495671076459
i,89,4.901429509602295,67,78.04727692574474
l,42,44.9468412746475,33,77.49003703182939
q,55,86.0146974886286,16,75.42827093640602
n,20,8.260673017836384,40,82.03791661164918
r,83,5.198840450245179,5,14.087864629671943
w,6,75.33161442046193,37,54.564807886499246
i,55,94.28037782205568,100,68.77008009833833
h,12,4.09404257760756,70,53.41555557220459
f,68,92.25665041040607,57,57.09651843827769
g,46,51.92564776040071,69,1.4518833122798114
s,86,24.68334029910435,61,12.769639413144517
i,42,53.18575294586198,77,21.892331928433162
e,32,64.84461384651553,35,73.14078937092219
x,37,26.436649201552274,24,2.101049213465045
a,54,74.71753680624758,3,89.26923174298724
q,54,17.634410026521465,63,72.64002585157766
e,5,35.14323239312501,61,84.62644259460133
r,34,17.824267910162263,85,77.18504665233917
s,8,10.154407576009616,49,94.54988225361036
b,3,35.82003314881705,86,83.1160552592802
i,96,57.03707771957826,37,28.18175974248248
s,46,21.62068350103804,40,1.4155347155250686
r,14,64.70431741418248,15,21.721511244628957
s,24,52.36567207118748,86,53.88770849363197
x,87,38.050460999712854,89,30.13236531218849
h,18,90.16546044552257,18,52.61208955915699
h,99,8.796543321731454,39,89.00369111475538
m,8,20.057981858199135,72,68.95107371584712
a,56,67.65367522329849,18,60.153390671439034
u,65,76.24161712802109,66,27.93567310639147
d,3,44.343209346317714,53,39.63846162649135
j,94,53.600097502949616,46,33.547491640433016
e,63,57.09088936831574,38,3.1751408738211806
g,11,28.769003417512494,37,33.60943187931817
v,27,73.74461070940232,91,93.13491857625893
q,69,33.65413902685342,90,38.49688984785929
z,63,18.480247864454114,99,72.83613900040268
f,40,11.498094290233595,21,28.277802594457768
g,14,20.670760436593795,56,96.946650014293
d,100,68.40337119469208,70,54.49737416381778
l,82,0.2107361599143487,20,77.71541576960895
y,92,74.01179209332098,1,89.54203401867439
l,1,57.35936010113117,57,14.708303215159956
j,77,13.083089718721252,15,51.150041121586995
d,74,43.209669720142294,20,95.2657478035328
d,61,98.20101712541373,16,63.170578371731146
z,84,57.42296664883704,55,71.7071430109847
w,3,38.602634085382334,46,31.813172594110583
p,48,91.92722297933244,61,91.76693446332288
m,67,71.36950874670262,64,96.37003739152526
n,35,1.6641152772455925,28,31.92684012100817
e,50,20.02022862908538,43,16.092909667650456
e,50,40.12850075248592,96,95.88350956223144
z,50,61.86016731157387,38,0.1856983627896991
s,43,76.33888790189718,37,34.748964630798476
i,37,27.99760490695389,80,56.56589083871017
y,32,84.61735950424652,14,75.37365101806122
d,1,10.046107029702167,97,10.618196292617398
z,47,80.3329967898562,10,29.260400026782264
u,56,0.8441503499165948,0,88.88753633796061
l,83,60.01201290736905,35,85.31435414545493
x,41,13.27701099998595,36,43.4795213269892
r,79,22.361076680986546,21,13.976264643692005
s,71,40.68653942020066,13,37.45197410533936
w,36,17.119812287681235,12,29.478377161402292
f,67,52.42395690773347,87,96.40353066346023
k,68,88.36596562823759,16,59.556225274453624
c,4,71.27703016799126,3,82.8208483028533
o,43,21.70182479253301,79,4.174588869512452
y,65,26.511396096203566,56,74.66295649528729
x,90,3.067437279806673,56,36.73215701103918
c,8,30.69139442913332,43,60.13155699047047
w,75,65.04198832235166,71,51.513628786450525
g,91,86.28332010665699,5,61.001652626160976
h,0,46.674541615031686,88,16.07145709610105
n,21,97.8626015746626,28,64.37447969871742
q,11,27.25540576220311,92,35.60515094942727
j,77,34.50660492637011,16,29.75116319556377
o,84,90.7771257290561,6,54.586729963801915
g,2,83.31004753989045,48,10.163487992139952
h,24,85.58512430681424,15,40.46911878523065
b,65,78.78837911647001,80,70.66556119009904
g,49,74.20001452835481,46,72.55791627996658
v,60,21.14280571729993,5,12.242960772157907
p,2,20.88439390971306,95,57.370694906909435
g,32,13.302818240159054,57,20.424786265981954
t,92,25.938910999157073,96,74.25215215980813
t,85,99.82360974625072,94,36.45100084218842
b,71,21.95399182118556,45,8.25242941050629
v,2,84.54900167362635,56,27.04467680166054
e,14,30.224759932176305,50,72.61226760918736
g,25,97.31804193324743,46,51.17274039766039
v,74,91.60323839941209,28,97.28119206722957
o,33,34.51546361604121,75,48.379793711872885
m,45,32.52597159823824,71,51.9235111336427
o,98,71.04329444193772,19,8.57395736193669
f,33,80.26711677158195,65,0.35184956833052006
y,90,58.50717273281252,73,52.50170026088966
p,2,59.77584874557241,75,37.7165573687228
b,27,89.86934099042428,58,35.75221029963951
m,65,93.71830478335687,39,24.121877306837913
d,81,1.1470801564900324,60,14.674110687444564
w,26,9.352530148371564,35,95.69610283791555
n,85,5.533931255672753,15,86.10075438765584
e,89,75.38719555466172,26,18.448156468321407
s,57,44.072366638803,43,82.71612892659634
x,73,13.365903526147404,9,26.753330631978734
g,77,93.11902199688588,22,80.29684112782861
r,71,17.816421243018986,89,48.55828015035048
u,74,10.66163637546108,68,92.25394591094978
m,38,10.200307429716272,67,49.57562321628316
z,43,58.03649942023322,8,82.17435373515721
p,36,42.35352976573861,76,7.824018227059937
r,85,1.2405698942253185,15,86.81028501181343
a,33,41.35891858137262,9,88.75367792697978
z,67,58.21821782176293,45,73.32625868288315
p,0,6.2095608575294285,81,55.00015244704345
z,49,84.79205978091413,15,1.8056376029128796
y,55,14.092155548764019,25,62.8314587542559
b,76,39.745916299596104,71,86.73485356452815
b,13,17.218501599077165,10,51.333116352368776
w,63,53.775589824017246,87,47.78275143249881
q,55,92.38304739781199,8,79.45471491426702
b,0,52.823933698704714,52,61.55231596602011
m,78,90.02008549061706,57,27.26108310458991
u,21,31.710256579808327,51,32.99014592715187
k,93,88.35333161112032,0,2.998396670816572
m,62,11.877180973335333,8,67.18100925784928
z,3,18.894687530458,93,57.493665480996135
o,89,81.15854726397926,12,79.65058173979448
z,61,45.41707767229013,89,44.819735669325055
d,13,77.83417461316023,79,78.24507252674576
h,87,21.748378800702383,66,82.57179145943134
j,70,11.459691545355554,48,12.319945864947579
p,81,9.483360802135522,95,22.88852138396521
n,70,33.40403653395635,81,23.299594831894876
x,33,88.8410783260359,35,78.04319531371016
h,84,42.40700992751047,37,57.762025373429836
e,0,56.46507612474675,22,75.04133594959167
c,49,82.78752914347248,83,96.4141706737266
o,35,66.59166477007044,23,93.95342206548405
l,5,17.930685267515866,62,45.433609115389686
e,74,84.00954493064513,61,36.28072861681756
f,52,62.39349911710064,15,93.10824683314041
u,67,16.018087878272702,38,56.08243976812465
z,43,14.371496988838805,47,45.73783708019917
v,86,87.80876702204175,52,69.071204935397
l,89,37.01268684491876,19,28.945369908356746
u,90,12.920800864328008,10,49.1275678373458
q,27,89.38590027346966,12,92.72767991040722
v,22,33.262426725113556,32,34.63641885650255
b,81,56.942743055683344,20,65.13477462225794
g,32,51.69905935246053,91,79.11750363549345
f,13,35.12180657963736,84,48.649145421704056
a,67,55.89998265892314,89,37.565924717370706
b,17,0.5932367580733899,59,99.0792000292911
i,9,37.15527668549966,12,19.54410851346089
e,32,83.02514245019745,82,85.65481070426702
y,0,82.56667101790796,84,6.160517025139289
a,99,1.4398209673730178,88,64.9677252744168
c,92,77.1292660994637,30,44.481585777747114
h,43,92.50257457281153,19,87.39425098684578
s,11,11.538147155512835,34,37.832019038241484
x,54,21.441099208450996,9,7.030700349896524
v,34,41.601915277685386,59,10.692852637724837
z,89,38.4911799898599,65,70.92261302851351
d,36,57.73747758880783,8,74.7469047530246
c,3,74.758132626867,90,77.16496651028216
p,66,73.61273500174572,100,56.02719733991937
n,85,40.16152575794087,21,61.12773765120151
w,61,96.4317498661883,81,65.91075432788212
h,1,37.032348325180095,37,73.22087933443495
m,71,98.13392038055031,15,7.045848606669692
x,47,61.03781718264544,2,50.743198141693505
t,55,83.2293049525335,28,54.22063153798996
f,77,51.41310756454401,73,4.568700839887308
p,13,66.47931588512425,2,79.92421982879956
x,90,33.40515401749874,45,45.719880564668536
k,94,63.2528125076521,47,8.3293053189883
b,79,4.741614252957593,39,89.01562125595534
d,79,98.36657850147309,57,86.58487647852814
n,95,16.48207051101633,17,20.351745084682094
d,8,49.130797383700234,12,50.959292309865944
e,47,32.02225987671052,74,81.06188957941508
y,89,76.25418072193393,47,85.08525759689053
z,39,2.811916198405362,41,98.08152156019693
f,27,82.0554884434321,83,46.63573509061604
g,39,3.88215240177332,73,95.3295730594072
a,60,61.71330231548321,68,4.076434350900082
w,37,22.246839983511524,89,57.47369095223964
e,99,39.200725397035704,24,49.3427755532655
o,36,78.66648797475972,13,23.34547678331894
e,66,71.87108098096584,81,33.69731746161363
k,4,2.3118046220752753,86,34.191734063342004
a,80,14.548187705743686,29,42.35538550107609
s,93,22.60376236881616,92,93.10646511271459
u,37,12.179195702350242,16,13.343841225125598
g,55,93.96379274518624,88,17.87788070279045
c,2,87.80912632421543,73,82.11506387971153
