P,L,Q,X,O
r,88,89.09917539186321,89,6.232996295051263
q,64,10.969089828043732,83,67.1403782860591
n,94,21.21563971019036,51,59.10225043691931
z,66,66.52034975235574,22,28.22020781939345
t,55,90.34562152852888,97,80.4091632265409
q,84,50.57933291051403,18,94.82356449806228
h,28,36.661127675242625,95,50.53664621017916
r,25,62.75402078975335,9,2.1067148244231504
i,61,65.34594318113339,0,26.699110084697352
q,43,50.20906377582675,23,81.72557118283817
n,91,34.22119027669902,49,83.72734616042176
e,54,21.321448395946263,63,16.21239766588979
i,30,7.591912193538308,1,18.388184712145804
t,24,48.34301056938487,92,7.8621316412824545
x,88,62.16024734338721,3,99.15364210764216
x,5,82.22236362026247,41,80.36700734156211
s,18,71.45843440428018,67,71.14486724699488
s,89,37.42418397944757,34,59.49981910873401
l,77,93.92143486470842,54,19.837575227184544
f,56,46.26540638310126,37,25.582056997041512
p,40,26.069146985303092,47,84.95574501985942
y,28,96.18217508909099,10,27.61842655000907
f,43,19.943117505581853,20,78.57747425059839
w,67,82.65411580985267,81,48.2432187118178
p,43,5.306517068572669,97,36.80631172578494
r,50,74.81803230186087,59,75.13311302804689
g,15,91.50618079236581,68,31.45466513052385
m,80,36.9477454073864,1,61.790936036231905
c,7,5.557460227063993,11,39.943365416671874
t,9,4.941908229239078,9,68.960921963397
s,2,23.604691546260014,59,73.77294232402024
z,6,13.577003694891832,51,36.340806139709855
w,42,3.6237569892332955,37,71.5058958393668
a,23,12.615962433760075,80,79.7304205738427
d,48,99.65286618597638,42,56.4626225648673
n,94,61.136756372505864,6,34.57067716055086
b,40,48.303395747274145,86,79.40883153946565
x,44,58.83237031825532,33,67.17347447584226
h,24,73.15836487545413,7,23.416273905777896
k,82,37.743026685911204,76,50.87812127903387
j,57,80.89216026085147,97,3.0960579813212097
h,52,96.15694647545817,84,10.02400723467195
l,31,81.66498907490121,43,37.2008514407205
i,73,20.131106821014843,42,92.98201444394641
w,38,8.523644062197643,98,57.390916735985485
u,85,84.29197302778984,72,15.763503670466793
w,10,67.53708679786618,49,96.72369232237527
l,81,58.53005535390384,91,89.89556860786632
b,94,0.3454949294639631,79,59.28841407398141
u,18,82.20003789999913,39,12.221721014032338
t,22,59.64291483200035,25,41.648540786413704
m,64,73.70010861636904,28,82.93698812202759
u,57,76.20631462168272,95,24.309176118615138
l,50,35.90341576279531,85,60.38757561840291
f,70,92.43088120536662,82,95.54407404965359
u,81,33.75151135553498,13,45.69697885736296
k,77,33.72127515191848,18,94.56201240358824
f,30,51.635478961149374,71,65.37587370517542
d,23,95.83046350114512,63,6.363408538530857
f,17,72.57053786736356,43,93.30517683717484
n,82,14.824814819977739,85,46.21323633615552
m,26,75.78584685213777,2,77.79213067947965
y,16,77.96158323942412,18,28.071055699527715
a,40,94.84875196443095,66,56.86989302491635
s,18,77.65558307250429,16,42.38389625316666
s,42,6.951638830792883,81,4.536283311937717
n,92,7.172040078504671,3,11.593800614991112
k,12,88.02332402092465,69,47.044850411132266
w,7,49.73379730527648,55,4.157431199750539
d,9,90.65446943143233,55,9.830432638893294
u,39,0.41746849063314384,95,82.58709326338233
l,29,94.84427397115329,97,10.759400506945148
z,27,56.84702981892966,27,71.33280236401994
t,10,36.23456500702292,35,50.356022134191804
w,21,31.13401951085808,88,72.21880077816905
n,8,12.085613212831248,82,13.336036227252258
o,73,5.937472035975033,55,4.098304102835614
w,12,59.5115747925434,44,57.152574790560365
v,54,39.99916932117639,89,16.69942092265598
g,21,38.1697792822745,0,70.69858826351229
s,45,59.460721897762795,11,8.394692506292213
q,4,93.06493363738177,73,20.161977706947077
t,63,68.78185392493772,74,74.92548809962946
i,58,60.07305751140826,28,83.89912252305186
w,81,97.37041197865905,100,27.319790537818534
j,62,9.668575837886594,86,92.79156504716674
a,70,12.014844049600825,83,22.29893214823605
d,85,36.59496714559685,53,69.8168608156408
w,65,44.900876499450845,14,50.04873471370528
c,5,67.85584934291444,11,81.0273972537103
m,12,77.1440512128635,13,20.56628749754067
t,21,44.76532894781609,32,17.02590394229172
d,36,91.0212692476077,11,97.69831996970453
n,42,13.17281802425211,54,78.83854495444203
v,59,82.55549865163673,82,7.721188483825503
u,26,97.60966818954977,53,38.49271791130134
s,43,32.93416335073801,31,1.3943835498922197
r,35,2.721102649907803,14,8.723207633728148
c,7,39.39712150701339,40,30.2044367096973
i,95,43.85312461433772,86,82.43124584622166
z,49,42.602448286000396,36,75.37468261525214
e,34,20.098199802688356,59,34.76529739975152
t,39,56.783680339046924,12,42.36383574520909
l,3,42.307887609118964,48,55.28811394711831
b,38,81.38585281962428,58,13.33511182568019
m,90,41.96452213170625,68,92.52728288947452
q,2,9.264915017727727,4,2.260733972735063
h,79,34.41155897431534,0,31.464056100444726
u,53,47.3859554663285,28,14.17875513584843
n,56,71.42705379795761,77,5.80918787906477
b,12,61.51348210642455,71,17.913304178934276
j,23,77.74341892503128,4,48.07621213885368
x,57,14.849080095256761,18,64.00794744156003
f,19,99.174493703348,84,23.389632618041933
i,12,23.04749548198509,96,93.85924113075785
e,39,97.07668310213762,41,14.124880481192791
f,95,53.51161626771926,75,34.025453009814754
k,13,69.81012666530997,70,29.846274396042826
e,44,53.101451153576605,94,5.9480443071587725
w,64,5.897888154634989,49,88.09993909158315
v,77,70.79418633201526,11,45.21189577675013
s,26,74.51428921892304,50,35.2701063438231
o,52,40.75692058557434,24,61.52517622121313
r,31,47.115018350900016,87,85.48884204143067
w,45,99.72027819322167,82,26.818174716881003
o,41,30.622055815137582,3,81.20778390696654
j,67,89.84721369257632,99,9.789753842123705
g,31,48.36591527815145,16,14.380628474725066
b,4,96.2574725714637,76,81.34093001780991
p,62,31.963821681008287,2,98.97575402450522
z,73,79.33561911540656,3,27.907823737230654
q,83,28.46366191426911,14,20.439505030824467
v,86,59.86699018947876,90,62.535943694168715
r,85,93.90681257461459,16,78.15544062669701
b,59,28.207085050731486,68,23.19486274727216
g,2,98.25217726684933,84,27.255581579031873
w,36,83.31678185934892,23,69.74309888686737
r,9,65.64259034597788,40,93.11624721485285
t,31,21.19417094019034,17,43.94993702782973
i,76,16.337065894668978,87,55.29241403543577
z,40,26.604192909440282,55,85.12813244274558
j,100,91.99011046094428,51,57.452464106087064
y,51,11.788497550920706,42,44.90854692993289
v,65,93.4350604270192,68,35.93840584110891
