D,T,O,G,C
y,83,83.18846403161744,74,6.228009613155894
c,31,39.374163781565464,9,2.3805678043836487
v,74,61.34338785348287,6,21.364273952173672
p,51,20.864231061480808,59,23.555667371412735
j,48,47.70416017442239,91,25.072916374810074
x,66,61.211275325577965,58,15.400194571090587
q,69,68.88853286915926,64,71.07035819315671
b,12,62.76170631965658,87,87.48063454448612
m,15,30.68136786871991,89,88.07819238399836
k,59,21.43860759823205,33,86.09300107862671
o,42,43.73946433902712,40,82.87300859601083
k,17,71.12847194497414,33,89.30123386564289
p,80,10.909231781731288,20,29.429719260774036
i,77,89.74415265003351,61,76.58597991377167
s,23,64.88917716140634,38,23.53930400926385
b,42,53.981426314348425,22,61.38090333741025
e,50,51.774479221286875,78,4.08394602312775
l,32,3.7090258255981667,51,94.48833292446584
d,70,35.026507496077606,79,4.197311020594663
u,53,98.09994769942529,57,33.55854299433019
s,52,60.9668457115791,20,42.919743877885
e,92,82.9988751561752,71,42.96579914393259
s,19,13.064492228574187,30,84.15356823567518
b,81,12.528302415331838,48,93.05940389716696
o,32,58.04180512725324,4,96.02570126601313
f,51,32.16887223089875,3,72.94695842312586
u,16,86.63336238326013,26,53.22622741336402
i,53,61.70613679400575,79,62.316314396720784
z,22,13.768995202690181,82,0.21806487371470729
k,91,77.02978052485227,8,96.41209067049988
h,52,3.458200929562716,53,21.764312992979672
z,85,72.7724554520212,30,71.01378582917077
h,60,11.662946310315892,19,12.603266746085618
d,50,76.95400635325505,1,38.23713647987742
e,65,30.513465740482427,46,32.38345996977726
v,71,78.34225927957957,9,77.43550124565688
a,15,77.94238652094177,1,24.335815882237533
a,63,42.885147485879656,69,42.096522630745866
k,93,99.07622824748545,62,74.0824016896167
d,69,17.513654278572044,39,29.331745995308367
m,71,50.648827319064715,24,68.90010957654025
f,43,29.796177255296076,70,22.141164218660457
z,48,49.86209277490524,96,85.1026795666625
l,0,70.1595842835344,25,5.07988863463773
x,55,67.6479820147794,20,31.105283739851096
p,30,30.37641461825692,59,44.46544429415786
l,7,0.21702708289493833,12,17.265606096424058
f,99,88.29192391191654,17,58.59144026996612
k,9,39.840952470044535,69,4.827771317265039
z,35,98.30249803492103,37,96.91591933460596
k,36,13.060962920073194,65,50.550428213760554
f,56,13.31947664107359,98,49.14208770696461
c,44,15.956635730350921,57,44.8761207530069
i,11,5.636101109533421,48,80.86419161387914
w,44,65.62542362279207,92,86.28668759071803
f,7,48.96247102475164,1,67.04080988153082
l,94,18.860191147913884,80,82.58923838327534
n,34,71.85271720509834,83,27.54474822449975
n,41,80.43853888441016,86,79.13320048370173
g,54,69.79629253675135,2,26.144977024287808
y,44,55.65681084902165,62,86.26429042606432
v,9,99.06721596631714,9,54.958294467723924
z,6,79.18971858521894,40,84.99652246458993
p,83,91.41434925094126,15,22.879283522894223
q,26,42.797346113669775,50,99.52332484762309
i,49,41.155416100106066,64,53.326118398120094
r,38,5.665294645459118,98,47.985579683781886
u,36,44.64666404320895,30,17.27871348811557
v,82,63.79672673276997,99,58.587275451906166
j,41,31.307545373902023,42,30.996097519914468
w,32,24.28216734658846,9,98.84775526047285
t,30,36.10218446608581,18,24.786342478134017
u,77,69.42444124942419,98,16.751339160009916
k,15,10.46950026916209,27,30.271388622468454
u,67,62.92555599653246,77,70.9213973498146
b,91,57.91917915565964,86,23.96495794813268
e,24,44.76707820250551,34,99.58755207215759
p,31,63.364892631500936,9,27.768154447949712
k,31,0.12908734579403225,50,32.11581067232954
d,26,92.41682408487671,12,97.20911657097481
k,73,75.20017890102746,66,2.7086469193281393
j,100,52.00655592809458,75,95.78913148593429
v,57,69.5500136987618,86,1.0686059530002345
g,40,68.40687754847825,89,34.36748441535107
o,78,86.00950162063971,54,75.13245073596528
i,73,67.28836998799903,50,87.370267857101
a,15,86.69883967093762,47,42.01350312579486
h,57,92.53187103544029,61,93.81427553638969
m,85,85.76804952492814,29,89.57257184554828
y,61,62.72658606384384,41,50.9848457505558
c,100,25.304198291035483,88,34.00669198655264
g,58,56.54911114646875,45,57.574958119586064
p,46,94.92746778900678,12,41.163450428390824
q,95,45.67972786352834,29,5.959587662606758
j,18,38.79376119246872,12,97.5459042385087
l,19,40.895832968112586,57,92.16960144638094
q,92,90.08064970738074,12,72.88779023144232
i,77,44.422413504296735,15,10.302758854425687
d,72,19.50116194791208,64,65.7450766794075
i,74,15.64862332828123,69,92.96625382340386
q,79,37.70647610012017,41,44.05875188431114
z,75,87.0785389770542,54,68.5852381035091
l,32,7.149094210284579,60,19.816203355187
a,70,20.615359143831913,70,7.127052277747847
d,88,35.011978763059936,63,68.60333869937756
a,49,83.0174559072135,49,1.6937949757626303
m,74,45.783727579046484,55,63.52525752052113
o,96,50.875310276406985,86,50.91044803689218
y,97,93.74514019878204,55,14.141341305766053
e,50,85.67742453697757,34,13.820304307842013
g,24,63.02041221858268,9,85.8527157990174
o,40,27.012878760801474,41,44.779030885233354
a,91,1.825257429983762,22,66.69392300373227
z,75,81.1111560589118,99,62.49920654699957
b,57,71.28186295245037,66,81.38258957616975
t,83,61.23405727158718,26,89.31436912584844
q,29,87.33298080039691,20,12.882635268105947
v,4,26.501756848806547,40,91.02071291469667
z,10,92.38462533062956,67,64.38771085608572
l,19,98.04594083341483,25,88.31474641790504
