I,U,Y,C,J
t,44,70.59365292037828,99,45.33791712983507
y,84,66.79607731478801,47,74.27738320474393
i,91,96.2386413966774,50,14.888955330019549
g,64,21.306386439221846,41,94.7252454010621
h,80,17.807290075184355,60,24.948876545360566
y,32,91.48890446548751,11,85.82830927026394
o,46,0.573026199797444,48,71.44878518283456
k,95,92.55280210616661,25,68.53832833705688
h,90,69.30899656306795,8,70.26333769867186
x,3,66.48300392702262,47,15.749143407109912
y,25,8.34659292261264,65,68.73982663166751
p,49,98.18893674559635,22,48.16296153765699
n,62,50.44891632244174,86,26.240725886290416
v,76,5.984051043016036,5,83.97478574435776
f,31,69.70098361116945,53,66.07154082626217
f,92,44.2994549237117,26,45.781748641972555
m,69,7.354348216906448,67,4.405126488796817
b,7,78.15777936144224,73,81.26587286976765
s,90,16.125823837105013,70,4.608248013143101
j,66,38.36520776397183,11,20.14322710613935
o,43,93.96123059404286,16,28.609888264474638
y,95,88.56173738406696,58,41.45635708216622
q,38,94.14162716584772,48,64.54061931527636
y,28,86.83333756383065,95,84.79456744774288
c,34,66.42657263569298,79,9.510219123036457
d,57,21.46307142232654,97,33.48702615101875
q,0,8.648118344932143,75,42.49760712328218
o,73,19.48974404181365,62,36.91579700758868
e,5,27.197385888047176,83,3.263731117310764
y,59,34.37096509363028,48,84.56155417672026
x,86,70.93784558464058,27,41.51932363811072
v,44,7.931781549753037,71,47.40479651744211
r,17,36.7000447081814,79,81.3544302945873
l,97,93.33634566793364,83,57.9286216949625
a,95,12.949843987201437,56,21.831442424353586
q,100,39.21089166512625,2,49.97131810276612
q,87,11.066692322175498,8,65.41154776315899
j,63,88.23752664050534,82,70.17354681587675
g,76,46.17146480177845,44,98.59805178932785
l,8,2.6742447183102147,47,6.596368007787035
u,78,38.010871684460454,4,4.939882837607179
z,63,51.36353183657742,83,99.62668574455184
n,80,53.15245320672924,68,34.032890072869904
k,66,19.62986861029361,96,4.468656065589038
p,58,66.00679374069868,75,76.73948290207908
z,93,91.95269569309073,17,32.69836146260554
g,27,33.39299115750695,38,87.452789443981
q,2,49.020745586602985,10,71.70680724460622
f,53,82.24411942568383,23,60.40192052313175
v,16,8.787235370317925,36,16.55749769494077
k,64,47.97937727463994,95,68.2140150960623
s,14,92.22571565335075,23,4.145534890186376
t,35,1.4050544964889666,58,72.0879739227044
l,22,64.61777705863886,73,31.775108874462767
u,95,28.992007444681732,81,55.7526157256833
s,96,91.71529828043005,44,3.3948858884689126
m,97,90.59056505977472,60,33.38033083935771
a,56,37.77981308395514,10,2.220387887149755
j,17,34.45544997071065,86,3.01743782796704
f,65,47.498490257596,24,23.225409191957592
p,17,88.5111970585811,94,93.2452108331279
x,12,36.14446570738211,2,36.11838383686566
z,54,49.33502531256624,9,89.93150861820604
y,69,25.66154666415372,21,93.61239289807341
c,36,65.72479498765912,90,90.29769647218012
j,92,63.771100328201804,94,1.4723979595578696
t,74,18.364880698493767,13,68.27810786934552
w,4,95.76198395506078,74,98.75191693205355
t,87,58.87156293903302,38,40.91618279293593
j,35,45.81203043082653,28,41.47791349186648
n,31,11.944767254406285,97,1.6214566008225018
c,32,43.640881206914926,18,68.89403360854888
q,42,27.411491448230883,87,43.194110951775954
q,63,20.227354782542196,79,60.03436294200145
o,68,3.8091169085219256,42,60.74496585903743
r,10,57.27223203230499,37,89.4639068129286
g,100,36.92528698409034,13,75.35185969940022
