X,Y,M,T,B
u,45,99.27031163699095,73,2.8891502438797234
r,24,5.760676374214979,24,90.74790306400087
y,66,7.646512744588774,94,24.631870876598892
l,78,29.308545093680603,100,84.30268041513263
b,7,36.17342807473049,81,3.9379458158531055
j,22,74.63877727159421,12,46.80461543697777
n,26,26.679239550068857,56,15.251871268391515
a,90,3.8010726539831396,93,93.39161771427493
n,93,79.61201162157387,10,75.32313694191079
o,74,93.42404874133403,46,20.746521932560025
f,66,13.262182252313847,84,20.69821279839171
m,25,17.491598529727582,80,88.80023609730401
k,62,83.60760899821277,28,91.08911518521387
g,40,95.36236485916402,16,8.552898544593413
v,40,83.48530437309759,16,68.43524894292761
r,78,82.89532331164044,79,70.23889737157954
c,68,61.16723123846829,1,43.142251185994326
g,84,79.56275157957079,78,45.51815374476217
j,79,79.15530342459921,42,63.659603288576875
j,30,39.863128346167734,48,1.0967108083591914
r,1,74.7996035583375,91,90.54858108592101
s,95,70.2022021593525,45,64.82195490789155
h,96,67.45655560795679,71,10.552824592784393
l,95,91.85569578656707,43,15.305697590571787
v,30,3.705094858228175,36,41.45348952603014
a,40,14.631305699209529,2,59.05532230479993
t,93,24.03678540652371,84,70.64259589236221
k,52,78.44780802291145,27,17.02634948155284
e,3,98.06955659339872,37,54.54408209693082
v,35,37.18729258773104,94,14.786957958508939
c,82,95.80093597745683,5,97.64938077253417
a,96,78.44121130129955,49,55.79572086290141
h,80,94.38900150048197,87,47.29339140929268
q,96,14.288014708522667,95,9.297922241832424
o,30,14.140312481732654,78,31.687499162864974
c,44,81.15910947426347,10,77.5470238201459
e,26,71.56033048760641,92,29.850456689950843
d,31,77.47454282887635,10,86.67222016347877
e,13,52.68895103974233,64,80.14531648119134
n,55,78.3331028624768,61,13.832744104207173
u,44,15.7974602339766,98,94.33605158818874
t,56,38.077271027725665,52,85.21843626440281
d,56,97.6675836230382,90,29.59518009470622
y,82,65.14892655113513,11,64.78808843208299
k,87,15.08546527961039,68,90.57508288648674
d,39,32.270959656633224,82,49.44944431555154
v,50,31.904916160078713,6,87.49085298017107
d,5,29.539643289075602,6,22.347909970035385
t,19,76.77333506578962,70,78.67455061660021
y,5,50.63244222014547,89,67.85081825004104
m,42,4.2676979116634595,54,1.9110379373106667
m,53,66.28179857780628,17,1.742265006743804
z,20,3.1225375148716816,88,10.405708287269544
v,9,11.349300209619106,86,21.06964832134761
u,25,95.5107405994575,73,82.123764453625
t,85,39.81114998096551,30,54.02620134322539
l,30,6.6322017268803934,5,82.01165466152987
i,67,44.300223072495285,70,65.43460800804647
i,90,93.35693597829676,13,80.09216765658415
g,47,73.73625327331392,29,86.39852260513987
j,11,93.23381448225983,59,77.37086769016588
o,17,63.28168362125199,87,44.10237471302649
t,9,30.210116546727427,27,95.97126656789256
g,6,27.65423918388611,0,75.46180456202643
d,19,99.39901384901299,51,18.318035183204774
g,7,74.2932524309521,36,13.440914365582435
x,81,36.45030399126096,16,51.50715078157425
o,6,62.44410818152309,24,47.205936026502314
o,34,90.37214995195194,94,43.09733194846039
q,11,4.497958389865431,6,36.964613103511454
s,59,99.09398539362002,89,63.66528013501406
i,77,4.838205291593322,47,91.89238745452906
b,92,43.49786423001819,66,59.06258601051941
g,46,29.162422220339423,29,69.33113403243306
p,77,71.11222973538223,36,21.249546349441893
s,27,75.38767007393194,21,51.731192957660774
v,80,71.40695032421938,12,13.392522514184247
v,54,44.571795006525996,93,4.824210348304636
q,19,95.69512894626186,76,50.19046485723534
c,68,9.143880834038931,55,79.77356144527462
p,36,37.19678813346356,82,6.521721828359861
y,53,71.92680774512755,86,45.39269039849213
i,4,49.17007815018106,95,42.27298120699942
n,97,95.52129664612235,2,33.655429047280684
d,14,45.9400694246062,90,43.98465541619787
c,62,51.6164833016703,49,8.895816114288335
g,79,51.91899366775824,31,48.05443864998624
o,95,31.775068181542277,3,3.552080254316614
q,71,14.788342309088643,76,21.269308349062566
p,92,84.47987357810196,85,48.158437908872166
q,46,77.44763252058468,96,63.433147851933505
v,89,25.96528576956655,27,32.63235174943965
f,100,47.21293021862216,89,28.316666153685542
f,40,81.32343070341534,63,26.05833138989765
u,56,53.29326405737176,64,56.13562619185466
k,33,12.144386695889331,14,64.32487503355884
c,8,36.47157343524313,7,0.38515680279996856
d,8,98.00842588943671,5,51.68515841171002
t,27,95.00576626974512,64,93.07321554101145
h,68,50.62440874709966,41,48.98871338288202
g,82,58.68285217663608,71,37.31929054268712
c,58,40.32769604033424,1,40.6420871969438
i,31,9.955973985411958,0,10.709651426154231
g,67,5.491025825581963,36,64.89003283949842
d,68,12.83625969800518,68,81.06224379640118
s,98,23.938284663891316,61,57.992629787619585
u,89,28.281202253087802,47,97.16984055732043
p,40,36.57792455074556,28,57.26087905494418
a,0,56.85167677283472,15,36.25078579936606
c,74,87.60543588370976,83,93.960229167759
q,60,96.25970517139197,35,6.382274572953173
z,69,91.33712780643961,24,34.33071256265886
z,61,14.691801241765756,58,62.29213910067736
i,13,69.86199545651549,84,99.28459706714747
s,65,6.344215338024406,21,18.036749002297526
p,84,9.906520138088059,28,73.97554055350957
o,81,44.60292744437721,46,15.101860796495492
w,54,54.03002831983882,90,49.18665945229775
a,86,97.60857544984609,61,22.615884821769317
u,70,79.08028258642695,63,20.31130699253102
v,34,36.019874165351254,97,18.00239928634425
g,91,83.36627387247295,65,71.14525344482026
w,32,90.5980147418153,45,94.9383812350966
z,62,53.78869831459281,94,10.60055547682175
a,16,65.21335943026216,84,15.030407762924526
j,50,16.771430308127478,4,34.16293121316427
u,55,16.192989835008774,76,90.38201382426607
r,69,57.41771836566072,93,43.29540922212429
u,94,88.14708389696648,61,53.20007165274268
s,11,23.715776902120766,35,62.191146428170754
z,87,17.53337356809588,85,54.352595236408995
z,9,38.33549723108553,19,4.009038915390139
q,50,33.904674014202016,74,8.071447708587332
p,71,21.637232397474293,11,44.43527391002203
n,11,38.633456189845795,67,82.34410072026536
i,68,18.020701612285816,17,65.87608990415038
t,80,64.80229978260292,88,61.44222604180426
i,28,23.707348908710067,100,9.717851545753465
j,56,73.15526566320614,22,61.88725680009869
o,96,65.80357434205185,45,43.84298618413002
i,86,61.30718764169776,68,18.301550478275562
a,4,26.082405136359466,9,79.59789837582004
r,49,38.228849547516575,82,11.839391775475194
i,59,19.351165415844086,73,81.31578311781136
v,63,27.671595091962885,34,55.87530597588848
v,92,76.54161367825695,32,74.15289026045481
v,70,8.64278989164462,70,84.15283324405671
i,14,53.39995937564931,88,65.41215050814199
l,59,14.49663882052301,28,75.32850662798401
g,67,84.12724846663028,54,35.44679503222016
k,22,89.88787896855196,63,77.50723567495574
j,44,86.22344785571244,4,87.84419349609148
q,93,92.53832926493892,86,32.15205454511051
l,6,69.55927077583885,87,95.87384072642374
z,64,99.3806232341963,16,5.580487287230451
v,10,77.2198676966456,91,24.882257973010702
t,52,56.32372789453366,34,5.992429943130039
n,39,60.016543767320044,82,95.86565727966094
