P,O,A,S,C
s,45,37.53158437398599,59,69.30115214901181
v,81,93.2781182242274,12,74.79103084502007
x,33,0.8013299589272882,48,29.13069090517444
c,4,60.599296488895114,28,3.7881606049944394
q,23,65.93991633519246,85,74.62952615968084
s,47,26.04060940507248,23,75.10304477854567
n,14,96.82919102504965,46,35.126684962313526
e,10,15.593188747021314,42,59.27050195211524
o,50,75.23938924667145,77,36.09036958964715
t,62,5.848867589680829,60,10.125292089725757
x,34,55.00414014029571,92,67.3685130138749
t,57,87.58720777596174,50,19.085304213830824
i,21,35.39248682506698,49,23.890997620433975
i,3,3.8771274070590445,78,32.388389554532715
i,99,89.22460400990411,7,13.031699259992857
k,32,31.370994424877097,54,27.582736124592856
k,9,93.3923347902507,100,87.58063124656516
b,47,48.96199850631264,57,0.16741885536964984
s,50,98.32067807040747,40,14.447290641799382
e,11,85.90202685767777,59,61.70950643745458
q,56,45.82780466387171,19,52.471718962451575
o,16,2.7546650345410484,75,73.68021818975615
o,94,57.92409727350163,9,44.42161216881283
c,81,82.59151545267869,41,82.75483064997017
w,54,48.142958802452995,68,11.836639160872819
n,55,11.524689069069305,18,75.83139205065932
n,60,84.45234843582891,16,57.45580494321614
r,17,22.172864349640896,67,64.76687277486829
f,48,47.202275210152635,1,21.265680281659428
a,43,27.315352714976747,5,54.39254338774092
h,34,13.755895317489797,22,11.7170381629901
q,3,21.701394502100847,61,46.92720921437395
y,10,92.74095820094834,53,89.80945226291045
j,36,5.13225816812144,77,58.56129915629228
p,19,89.36720867986338,59,66.11015220313296
h,89,33.044583078206756,90,6.9381359023913625
t,80,30.621664328294273,96,71.37583824351456
s,42,15.749738646554935,29,80.9186709593709
c,88,54.021277975374595,21,91.84666899697659
s,27,83.66443701234277,25,74.18638549944023
g,36,73.66362225360514,25,67.72838516807805
p,5,64.22053642430531,27,44.36394915721602
v,56,23.161057658790362,40,4.587296889789261
k,70,50.076462250299656,73,78.08317991805698
g,40,36.96343768744658,24,94.08131915186232
y,90,81.96335024103901,6,36.87046881331971
j,19,95.4719433935825,93,48.05168446947887
l,94,98.59484884424413,29,91.30812142955325
j,28,72.31415432257982,12,36.45719902500299
z,70,11.354886010290876,58,33.27745294137681
w,27,5.285347488548952,58,80.21975833868457
u,23,3.9876417918755402,48,11.873441778055781
q,23,21.587991567876188,38,72.17503465585324
w,80,32.366328528900944,82,37.21447073873677
j,28,92.82191788128098,13,0.6220088290075809
f,40,60.17528677177766,1,85.17622933234954
o,28,34.08322259125419,31,40.522461726567414
z,26,93.67340163047476,92,20.455630902849364
r,60,40.11686849513334,89,91.65673263519338
t,38,28.6578210719724,73,24.754930367319062
b,49,8.81323681447136,38,6.1586990421361065
b,75,1.1568004786655983,92,56.05610832804532
c,40,77.66478949543789,93,71.42305657007498
s,55,27.01042141071777,62,16.66991265644311
k,93,45.56768622541013,83,27.053625904534172
v,34,61.59102868955464,81,15.211154249049697
e,42,12.449979485434248,11,96.278713930889
j,72,86.1768706453263,62,52.67801691670885
i,31,23.851984012804593,36,84.38891023783346
h,70,94.18317287299901,2,36.452938615945286
v,61,88.93200231294746,82,98.41865718693703
z,9,95.87813553545188,14,28.802660726298978
r,82,78.31868140576503,36,88.8189987569848
v,51,58.36886355422423,30,80.48163578732468
j,75,93.76064176295033,22,12.660445540684695
w,2,17.634366896278543,37,53.14106954118552
w,77,78.40149436429378,39,22.3849570530366
a,99,66.75046717997792,32,60.77212847824399
r,21,88.3726934339027,78,76.76990415434223
w,10,99.15529648192125,31,19.8508116042162
u,19,8.136637581456762,100,64.41354559150255
j,14,57.18969500257606,60,15.4043378795787
d,64,2.3833313646181353,42,92.13300125721392
q,11,88.62064986540375,42,33.98209380171201
a,92,43.802387444025534,21,97.24780579791451
h,36,56.65691837408852,17,57.65230039511825
t,51,31.83127688612165,11,28.114142819647338
k,77,49.122171134031134,5,53.53935929229275
i,26,27.741842411306727,73,81.72735569570875
f,33,36.4037663611309,55,1.149159903929764
b,6,65.63837301513318,71,64.97756656722906
y,64,8.865217224705368,92,91.7824452968242
s,52,91.73794599483378,24,77.05381882225488
d,45,89.69099545250178,64,76.49531547330108
s,7,39.61896944190635,15,95.14216523394798
y,24,64.81147882180322,18,44.29868910698247
g,71,97.12408632522208,38,53.70917751226624
c,23,34.74006702138139,17,69.06051001208786
l,46,44.84202924059667,49,52.972270344749994
r,76,48.42023751808205,37,47.79100726979573
i,51,45.860096272432315,62,39.61840172834252
s,80,66.02625683871517,87,10.427464338178993
n,24,25.023098982057167,8,63.35675238088473
b,52,11.214197426933225,67,90.46054480772196
y,77,42.786211291149876,21,53.972729489065685
u,34,24.300480224874875,52,53.04442430794012
s,75,19.53517467311554,49,3.568683048809196
o,95,59.86067548427149,32,8.959282323201167
r,2,17.955657391372338,74,59.90566809263511
k,2,61.59723317412189,0,3.4241922674876246
l,58,92.01790027543886,76,66.2793804703909
x,2,47.4694588152765,89,38.890242322373915
q,13,6.376915991611165,8,8.516548100076237
h,43,5.879674713078609,89,6.004121376356086
t,1,55.667283145977734,47,49.802936686823585
d,17,55.068761318974204,89,66.08015479475291
g,73,21.155340518745447,82,85.08308544340414
k,100,43.616438329268995,81,41.63214781205931
e,82,69.0868899062805,75,71.80191805828726
g,3,93.04490267632988,32,28.336288391933074
y,86,38.0005633748501,99,13.918305537403041
o,82,71.84438854460636,28,55.52556613548282
m,56,86.82931067654862,78,93.1112735590165
m,2,17.815188625439127,87,25.966012593425237
m,36,70.33461231300363,34,97.25872560644451
w,33,87.51671450713589,45,5.689771328473592
f,11,78.28834064961192,98,70.67664494716824
n,54,73.01727418833394,28,75.44147552265675
b,23,67.2614115539639,32,61.31571500695529
u,31,88.9562526257785,87,18.637597888389877
c,14,19.861801435867022,95,15.424713572313731
v,85,15.786150710574676,30,61.23819786255248
j,0,16.524947689384106,54,11.617500459382956
y,32,64.24497203043558,84,58.59764862867125
n,12,8.107142953132652,77,45.99095392805192
n,64,98.44836099195716,54,43.815438215557855
l,82,62.103698292687895,55,58.61521562724638
c,53,97.74905086807132,64,20.06556462543453
z,68,51.329685467094436,44,1.9329396459935588
c,47,49.924418930996,57,37.36965106285418
f,32,38.62637543982282,69,93.53345909281894
