F,B,Z,S,O
j,95,69.1937906442264,5,4.739230567019293
h,67,40.869362806269734,62,73.6421642924995
z,15,34.57280301906675,74,15.33205184823414
r,44,6.303084525827318,86,12.620141583673872
n,1,99.80712457372978,51,80.77080498979754
j,73,97.37723802435,100,78.3624263245045
l,73,16.59092938104291,75,84.4121886374423
r,63,3.541367374669979,5,68.49966962692953
n,48,87.2120830365801,97,65.69193542998546
d,58,56.76302666070365,95,97.66639505257479
m,55,38.83836062050507,76,2.0516884098386257
y,13,45.711373736701624,40,53.751782219407865
e,82,59.94364726330193,35,99.5444808418851
q,41,14.0589793988662,6,57.56371765779107
o,16,37.50005049773763,94,51.54333413681097
q,58,74.32655127160065,67,81.46907453262307
k,14,98.84047260941522,65,87.51777119091932
g,4,1.7946079448926677,69,81.48094990717367
b,53,59.465308667502406,13,57.141809866130735
v,49,45.185642994745564,50,7.312123595107078
t,62,58.68150547073754,31,86.39493074612395
g,46,80.9978195226322,56,43.75076808828241
m,2,38.931771380003774,54,3.407370107333152
o,47,10.455878820374487,30,51.272692368703375
a,12,32.581068509613445,67,93.53987197631842
n,18,27.536641616409995,47,28.259474565483846
d,27,88.89916261732832,42,53.89742779370048
b,52,10.851088063989224,18,89.77180025387258
z,13,96.58867929861312,4,11.280423517208183
v,30,12.970432430136691,40,98.30955404567302
e,60,38.57898767800303,81,56.53224711612208
e,60,39.45722849807868,27,90.04885572052794
j,91,99.74241987023537,95,63.93492808699961
r,21,72.618694371268,17,14.0672384153122
l,60,86.72909146732188,6,3.2312366408146276
b,0,62.11833952012865,3,10.996581411200989
u,58,97.01861598488662,57,44.33857672882956
j,82,90.1214956188264,100,50.910875597029104
w,91,30.451977658895668,17,75.89954854828957
n,35,35.26371310953385,0,75.72574063172729
t,69,87.63948809035136,62,84.26133721482637
t,94,67.34963887140489,14,31.179042013834145
g,9,52.495332635408246,84,4.725231396674301
x,33,92.46249094430394,50,23.221437855439653
v,18,25.33133445354132,21,11.897939211430986
h,62,23.17183935853995,38,9.672775220140506
f,32,76.27669339005662,62,84.09196530383169
r,22,26.289082024715604,31,61.01502847270868
x,11,23.017320259226715,28,35.34048235691905
o,65,80.34602012731736,81,67.92545111343107
z,29,91.9531073953188,22,33.75494123305103
j,100,36.55749149307959,44,94.03401177561364
t,25,8.463073412206112,18,17.436538522352762
p,8,90.05387167594735,24,18.737204245050123
h,93,85.26970886902629,72,99.28386125100526
s,52,52.53032978258211,22,42.6604989937151
h,31,93.35875230772847,4,58.95717703794683
a,2,32.64480949147408,4,37.461009961215574
r,39,98.80901738462757,29,83.31921323201672
r,60,39.512925327148366,81,16.09961590959671
d,84,46.860683347695456,33,62.33342442745372
x,59,39.84819810862392,59,84.4327307935229
c,93,62.771628627489285,7,63.12741674683318
s,70,44.01674725266792,31,73.41146260973733
p,50,17.820390398779107,83,74.01753698367763
s,96,84.06903073457825,76,95.09999034904307
o,83,67.08926408961482,34,56.0436903075776
a,27,24.782453220040125,7,62.10107194534867
g,43,2.9195230286235607,65,9.503013559549334
y,47,71.77783209193436,2,72.10560227188367
p,30,76.98791130713329,17,16.23705866656584
c,0,28.8050863160662,46,62.58275886612722
w,78,53.57663989605782,32,69.12838309788972
h,52,32.080978827595445,2,40.40420854824788
w,21,82.8919256662474,26,27.462386811590466
g,60,26.127780523359057,91,73.61923487598963
y,46,86.65227361334428,92,6.045512920786766
g,42,28.936860579052638,43,31.19544694740224
a,71,48.97682929549795,84,80.85257216687901
l,42,16.95811671781289,37,76.05917959511952
q,66,20.12751069374262,73,27.149893708344173
m,92,62.002243832264604,46,94.44869481795831
v,30,47.53904380141514,4,19.62747430513041
o,76,91.48739064182134,61,61.646624427628815
j,3,68.47938247399419,44,12.308592531379503
m,83,47.79798305816424,60,3.0796905849564515
w,57,6.795910110230851,43,17.440292253109625
p,39,30.094805578214856,51,64.9539361943155
u,24,7.959304246100585,23,58.217228070089455
o,4,35.273771828791155,84,93.84427308267061
n,81,72.32841097819832,11,11.863347874250586
e,8,62.6546239762558,27,51.08964636076499
c,1,37.7970489843539,64,32.89157897994791
u,76,12.892493653039871,83,58.03156183444671
u,22,95.9278877724615,31,80.64901664718683
p,19,80.31275376770027,12,42.54806492368086
j,23,61.949641810938495,1,19.165402367827554
u,34,13.850500308211732,61,42.09599856055644
z,70,33.26521278838441,91,16.27971468259769
c,15,77.42155610309531,90,33.42536700355567
q,35,47.44926953613936,39,12.714363546253294
l,82,49.40788455646935,91,75.88725193781663
d,78,62.33245894593755,65,39.066886850130054
m,25,92.11431664500319,65,45.91878899851628
o,21,36.490436597268605,96,89.90792481080638
z,17,69.4926100821235,68,47.15996537801336
y,61,18.366140504614492,56,82.93417262806072
u,33,53.793620576808124,94,72.34391586884885
a,19,48.55193934448686,80,43.16438914927764
o,11,5.966222096989792,5,20.43767702639201
a,43,72.93724018348094,95,8.971951483378692
u,47,17.913187939645702,29,48.87662828960758
o,12,13.331176708419957,69,46.54747561876793
g,17,7.976199778974424,12,4.19452987944795
o,95,50.18106511144808,3,0.854495214995421
z,45,80.23049865971804,3,96.01887765362375
l,83,64.07234723136264,69,54.54292166189134
n,5,73.35163484211641,62,53.606938528570566
z,83,68.35131644842414,33,14.870767020930609
g,51,68.22494084212461,41,56.24729543863257
n,41,80.43473930236732,35,0.5581458228717362
k,29,81.23768875642679,70,45.35892985319343
l,65,74.20382314081233,5,73.19536525329882
v,45,93.56392368446433,58,15.730901363844263
t,40,50.70201536605401,56,86.3758033651204
g,8,89.6436465036878,19,45.75827917433756
t,65,39.602859533643716,3,71.01771981841941
h,1,13.438011562846143,94,46.641328674987406
h,82,22.982892435015312,30,66.67917916452984
y,34,67.46465933633597,1,89.60663563174073
q,15,94.05604993090769,23,4.889540867185604
a,35,31.80653450117298,81,87.6214603671289
w,13,9.536037215062965,45,72.16349141514854
z,63,91.43163304467893,45,76.45528094451734
f,42,63.87506809165101,3,92.53544185900236
n,43,3.0743568195251036,49,23.119952408714163
x,33,0.9906969089969797,87,78.54937127669537
v,7,15.868097032835681,3,40.0533329135115
m,80,78.58820724378344,61,93.30287749377246
i,67,41.12959614001671,42,25.31607562463687
a,37,45.43211530892645,41,77.1106003410047
h,19,58.40569034616119,69,21.208580402595178
l,2,62.19750627404708,100,42.98141056671268
d,50,56.77171621909621,59,74.51789055806897
s,23,65.46534186251243,84,78.3437774826741
r,32,42.29402670069936,29,76.56651672281608
s,70,73.7712739222152,87,29.331256698990394
d,69,82.23558085778265,55,59.06970502953752
u,12,78.76537242250232,1,33.075951556092335
v,27,69.22602391927283,4,44.4953115695452
g,26,22.68918255501371,3,96.65625508452884
m,16,61.75948488258219,7,69.89083767676962
t,77,8.80045092948103,18,12.031695338999949
j,22,86.28590818091207,12,51.149290470215824
g,33,6.849693503698728,43,73.27507213061341
w,5,6.615092436848724,41,90.01759742645406
y,85,33.6278922862381,90,88.97059641881746
b,43,22.662669700152772,93,71.4047028308682
d,27,40.91344006533959,5,59.154139937137174
r,84,16.975984115848817,86,25.50878079283794
i,85,66.42942549878637,99,59.927265411704475
g,80,44.42791892236648,62,67.02852314888761
u,47,90.35458664878743,68,58.3410958883171
f,9,21.522075601509826,94,83.86250094232305
t,88,44.65534163493169,83,20.811632987597527
p,81,23.667224892571515,28,37.84583282050439
y,9,52.00768511849627,60,87.75266281934269
x,92,24.987468289488035,22,25.675929442286925
i,13,86.89810035844714,21,78.20743546034936
j,43,10.217644803501958,37,54.82992972636465
e,48,88.36507246095583,69,16.634025577516674
j,7,86.39732474516848,83,8.08453606145758
d,21,66.76953376922424,16,84.44911824018341
v,5,18.216622743742317,33,81.9893398519035
e,22,80.98026340072899,47,66.2950608322664
r,23,29.289375161285,51,87.16600384762755
h,51,69.29317632440619,78,43.80837792422649
v,94,9.312273651362602,91,71.24114688803618
e,22,18.092541691574127,34,4.599953527683609
a,63,54.99450568956065,7,12.029484817695202
a,7,75.14880972837177,27,52.707904215960546
i,3,5.298153976163833,4,87.4057917807984
e,57,17.14285016901923,21,20.91129092448242
p,71,35.4219719350671,33,4.131736796493534
q,70,71.73167232640768,60,97.8582279479896
x,98,10.04713194328357,29,69.54475663374777
e,24,33.25573875379221,26,59.13209513771561
q,69,87.67394253775491,34,1.0977714731930543
i,76,22.216277827147046,31,54.80778349016414
p,18,46.59452996543391,67,61.39530020195504
n,98,36.886143359869074,63,71.89387573728811
g,36,88.49998131037819,81,91.49073289962932
n,1,73.45353937116704,81,72.27580763026906
j,86,43.00329790760199,2,22.4356988541482
b,19,7.69614350719695,91,74.2449758256305
j,86,26.006838515496344,38,1.1801441837197335
x,23,70.03611101211546,92,73.60669930183823
e,7,8.670127738180833,68,18.90432125264446
v,81,24.49697304197187,53,56.58836377132969
c,80,13.93402382715918,17,4.043379918459388
p,17,28.04335903216292,90,21.76514119661026
v,74,12.389463459115902,91,37.012825511093126
i,83,24.617575453684548,70,73.90954538550673
l,51,26.156269776813613,4,7.2963824303938
h,66,47.82472315475509,84,84.86204151064054
k,78,82.2206544716716,5,84.44511679144848
x,59,36.159546231308845,65,59.36477809829553
x,79,58.504081007997875,43,80.19671418640775
z,9,46.47551596048704,59,52.02805269399327
t,91,69.35906391441632,5,2.2919487549774575
t,42,34.470787928290825,33,98.56286973487967
u,78,30.789620871285482,21,60.049993893530996
a,56,93.12476966814519,4,44.743199077293795
p,51,83.41513477815077,76,55.89054424342916
m,61,82.27417383239141,47,3.235303574406878
w,9,28.466771444705962,31,54.32911691617333
j,11,67.43163736184827,20,68.5353681444348
t,13,35.265239776607494,0,41.791229204068635
i,44,71.39303149389013,10,30.808855643810773
l,31,87.83057613789279,94,8.232399722547568
y,18,41.914543933568396,63,63.253349914884126
w,2,35.439698241111486,38,1.4241710017697362
g,43,33.15941898715433,45,81.08289089741727
j,56,24.635923545562434,62,82.55675200677398
i,95,16.168786489181343,91,98.55012609444786
q,66,42.30916930693345,65,7.894131436936469
w,64,33.97280831939394,18,1.3994911949053668
m,68,54.07209037222876,73,52.232116898996935
x,94,84.44243067510163,5,75.92587187992348
p,90,47.68362200074529,55,73.37964297215251
u,47,74.37081479043562,61,69.87928655422704
y,89,3.211609508637525,68,11.422541654193353
