J,Z,H,W,X
i,17,80.76412588866474,69,33.38538259546715
a,81,2.3787689868262074,13,83.88233030996747
h,36,10.030223642739289,8,72.8109189135311
z,62,60.86858380664661,43,52.217506275075685
k,93,98.27344774177254,58,6.969602288940113
r,26,15.448508608864685,7,84.9487206831976
w,69,39.41963964790506,47,30.83365253913668
c,40,6.599920009822025,60,33.093744044611775
n,13,81.4039136597408,55,61.480401313257204
q,98,52.16927885351076,54,49.28608759304246
q,55,4.267309559997134,41,49.38874684907362
z,20,32.796024647253894,52,59.44365315156864
o,11,41.15971574110793,65,77.93531210054996
e,77,24.83119847202793,82,20.447902815429032
b,4,77.90280745252974,90,26.24047894456092
r,15,33.06966160662539,5,49.75424221224438
z,48,79.14398633733909,22,56.36868034678423
n,43,83.95994227115914,1,17.265443600163323
i,15,73.7735454459313,51,22.617963199701997
w,61,80.11727347942464,20,35.1103947230605
t,58,94.51161516627883,49,28.170902839861533
k,87,42.04801920401401,96,28.270594324477226
d,46,50.23904702623491,50,39.27384271580231
n,85,95.73219115717482,34,36.906611706403424
p,57,95.851880092816,94,97.23328554400219
x,83,45.63130993706734,43,16.581117917878842
q,76,44.50778634181576,8,21.896433298089967
s,28,62.87589358440313,50,31.438608420329373
y,1,70.65422056096946,11,57.253821251535896
i,81,28.541390607163997,34,18.967900814209937
u,49,94.46816295111097,56,46.30344417495786
b,1,66.24928362835392,15,8.427528006018958
n,84,93.63805003752887,30,2.7775174568135275
r,24,98.9033249527155,83,36.1896041253299
d,9,93.18386954948052,30,60.434380742026406
s,37,43.97844967671436,35,77.54345300330688
z,21,57.2091178753794,63,71.33869704471668
q,99,7.333367538736457,51,7.545600563829824
n,54,98.9838009110085,24,84.07728164483895
i,93,10.8927965516169,23,36.950278005261815
g,0,30.136050912087132,53,30.695209901405708
b,51,27.676723298626925,45,64.18136869657182
z,42,79.26229335272681,70,46.01381277073416
m,16,34.202877900135974,69,59.33869381059645
m,77,95.29877171353587,41,95.53666546443104
o,73,73.93029996184728,12,76.62542202761308
j,24,83.7050934404654,78,47.396940386517805
p,25,86.72378283767982,78,9.909805260954407
q,83,77.87344836895957,78,58.428652831417175
f,93,74.17756529314025,34,85.33495698407768
