T,F,V,B,H
l,47,40.96401122370493,25,29.8437449404959
n,69,68.25357236646109,99,61.32409203735245
s,65,24.361070284855735,70,6.033049158522774
t,35,70.59458683815897,22,60.17696985973209
q,53,43.136084045683944,53,86.61805431720134
i,87,9.356011864734304,44,23.035714909241534
z,2,90.89596892316739,48,11.197664995935764
d,10,91.02378722376521,92,62.30586765443241
l,7,74.68275332220205,80,13.754580210873247
n,13,37.638626254464846,34,50.31893417680856
e,9,53.798295151496376,62,18.789576231928606
h,28,36.67917048151767,68,38.41265925164864
i,76,97.53684158340228,7,99.768138239931
m,17,35.10777311624069,36,79.49259470719169
w,10,94.91311717556812,96,61.068605160983566
c,15,95.56239803177061,69,82.44815785731492
z,7,20.40391434876111,48,89.3155876921349
r,58,78.97998984320978,97,18.279025058332245
h,41,69.21026644725848,1,58.35457485767852
z,84,8.821238637941475,50,70.62571176815078
j,89,16.140307553095223,28,1.6926458904597208
x,59,62.862476315436346,4,39.739599117633674
b,23,27.24194868061224,16,84.06364008820672
z,15,40.44708053865291,44,57.227618025104164
z,73,58.40067778377509,32,13.94784822812537
y,17,80.9159407715718,7,8.5909317602062
q,47,22.572637719730803,39,47.57830175950111
x,67,29.38261723594392,83,11.450413757150212
z,9,36.93094790937409,34,97.92023018345046
s,90,41.547140049920436,94,76.7908389097567
j,17,89.10710965931378,46,76.94289355852683
t,70,92.2000514301505,5,0.256999342047759
l,81,62.54741189228289,63,35.072685098151815
c,92,36.98861582274431,6,43.91131266578616
x,44,10.715244334708817,14,75.02726927489462
m,43,44.07863562712648,52,64.0239632071787
r,9,67.23539198923373,30,88.65516765926567
o,10,72.90232366241908,92,8.195217323256355
q,95,59.51768067726078,13,1.1559407957512646
q,58,73.37155162289538,14,8.594347844047324
m,74,80.02577539711203,26,87.38685259209134
n,33,14.344733863491733,80,18.95554108831551
j,1,40.21009265167722,80,88.43702616431374
g,34,22.879862945429196,61,87.91448020700425
v,13,91.76515667748592,53,56.60234817998019
g,5,94.39147876911397,62,49.00477800380336
t,88,58.58444990340711,0,51.134263067827845
e,65,7.546162145676694,67,45.11466192495125
p,94,29.556371604069053,85,32.90146435328091
u,70,49.95793206310164,16,70.35549558306697
u,71,11.959541163398912,12,73.40542727307363
d,14,23.450318623056088,72,20.686575872157718
c,67,41.5676085239023,48,15.737837761395756
l,21,58.681173055059524,27,81.75462304212175
t,72,45.61972890840509,15,57.08248073198976
r,86,30.76174188281966,47,95.29729473260663
e,4,38.49733140156444,8,31.10906143922176
b,23,61.48674292055322,71,84.96629433906871
j,7,20.43035745224593,78,78.5256633086702
f,39,18.99650136666078,33,7.367985213354222
r,34,12.593257796437939,91,95.34471881019496
x,100,10.433607517528397,81,39.55568073682877
i,71,48.82482519857463,70,15.223300863081912
x,29,17.93480919848811,65,18.878170442729903
k,13,89.62403010100535,49,84.2183093428672
i,82,27.222335535525698,33,87.81458005250023
c,39,81.02788634444725,54,43.3653482747909
a,28,81.35690038987946,64,58.04476043145604
w,98,13.241652035524565,75,38.6695432924253
t,91,36.59690235209854,67,2.2783569740567056
g,10,7.961324350223098,83,51.8552595960017
l,30,71.23352285749735,25,22.71286716095252
y,13,51.68692146646241,54,21.78327048699218
e,7,22.11750296340934,76,77.78454522735456
b,43,95.59665203963291,22,50.28424290568434
b,90,60.25317018306077,84,27.820176906740258
y,5,10.005914042912334,51,78.15426410769875
w,5,21.4262695615966,18,44.55236768267792
k,5,27.179604139520997,36,69.23026727808424
m,76,85.32069396241225,56,52.55082144324523
m,86,23.267799638055177,47,37.838272186708664
l,43,55.09105556110128,79,8.686429527830475
e,49,20.830181463799846,77,87.50568782721241
a,63,48.83649080726061,81,81.62909599449438
m,90,37.760172881347756,15,35.157545951917434
x,30,63.403790838825394,74,39.98304033532898
b,53,47.69524025208892,9,16.371150413106673
h,20,41.323384521550985,51,9.1298761150438
m,1,14.304838999307224,28,89.03350128682153
p,69,33.77744533689084,61,89.38882897851171
s,14,34.50599451143677,4,19.95812014915711
x,98,12.61896654969692,90,15.648928491435177
j,40,14.576025636169765,26,27.157084390508324
p,85,81.26977585875748,20,77.2113205247957
a,56,13.368815187245763,90,65.04647900675077
j,47,88.96906593492466,80,20.06491028324835
t,8,80.38715733152901,70,52.41273189763168
o,61,12.52259826093084,90,29.797768288212932
y,54,8.23056968827932,59,67.41655198605379
b,36,85.0521705081319,51,62.08631976197364
z,47,84.32055465861778,87,28.319382846220687
l,59,44.84222869401934,30,27.372152313714814
w,83,37.40820457642875,78,57.20884010776205
q,67,45.32608886844084,68,37.980169331535194
c,16,15.433305047267787,68,82.73365088634411
i,21,68.92260724085872,91,67.49437551627811
c,41,98.90691231917368,60,43.8366199693747
j,30,6.351090677850035,21,36.544029842729856
y,20,38.68536339268924,9,94.07768535901157
l,56,86.96315261484443,26,86.23398902165438
x,75,32.29745159819048,7,70.08855416859848
w,61,71.25982617210673,46,19.01131288779282
