J,V,H,I,A
l,88,67.6421840570143,68,2.5758945075775808
d,2,1.0872795574139005,1,39.364372998762356
i,19,68.66999757822666,31,31.076955866092938
p,73,62.55618471438571,24,27.218610873826698
b,73,40.13126564981781,98,20.566653023480775
q,6,63.08148979972111,32,97.59754531719625
w,43,95.16425450370406,13,86.78489084922093
b,14,26.72966813714053,36,24.976206070112028
p,89,48.09568072159108,64,46.04245146194253
e,23,83.5204461442881,6,5.319897330466561
f,76,4.9184379082100715,66,90.08567913872923
f,81,97.27750488596799,51,78.12004953792854
y,44,60.98310543659247,72,82.00879873849482
t,71,23.463257992745422,61,98.8086387805721
b,57,41.42982298768856,60,47.39005695747933
x,35,2.3113143044954265,42,36.438627223991396
i,32,54.50379700318578,57,86.37697761791736
n,46,90.39525688132802,41,78.91084108825646
p,61,31.98377206313645,97,48.44999328192073
k,22,28.066132749650173,18,96.13470667691463
p,12,94.15396123716761,54,56.778703582855464
g,49,21.62350460553144,2,15.032490368426876
g,74,49.268008628281066,90,70.48985595543085
x,94,34.689470840244056,98,23.28331634664167
l,21,74.96683707232712,75,67.17228831656494
e,11,88.93568639520954,19,5.632232755564804
o,48,22.01516185181879,63,77.3125455273438
l,4,23.30534321246254,2,60.25657659083456
x,2,88.12023017112305,34,7.055706550734575
f,26,91.19886811762252,96,23.473311324822188
d,83,45.419115568531254,48,53.04197886273084
e,5,78.3601507141451,36,37.370008903786065
h,0,32.90118480243256,61,24.969219877953297
y,83,74.00547381504232,25,79.98896066353672
f,60,21.44966132289706,40,14.432138034828434
t,60,64.16813317905297,45,34.66259305457389
t,98,17.953617170360925,45,64.93907457476283
a,73,43.23006201678976,62,89.84039483406407
d,60,51.03760331515049,76,53.407144069298354
l,76,63.771086462211336,35,31.63692573402028
a,70,50.11599547247485,44,3.427906062529562
l,56,47.43905203600176,66,23.278793449596
i,30,73.69158233797636,82,85.68675329785982
d,53,9.527451082574977,48,50.19186435679352
x,15,22.433638137438304,9,34.44538509090289
z,74,3.956425120766227,55,89.105769047798
x,4,32.786466879338874,62,4.803484912314115
t,93,17.651495518529824,6,2.763803739246795
n,39,61.004130708077284,72,91.72772666414724
h,50,17.33543124981599,36,27.651835701441343
z,12,90.61357344449834,51,84.62902741139771
t,0,7.900064449346688,21,94.64766799934654
t,49,84.04193808161834,39,49.60725756469486
f,27,94.88577976334824,99,60.774362720118205
o,81,62.37857578614553,11,44.188795709117045
n,83,69.18531875683877,29,21.423215247344295
k,67,53.24078785262893,51,74.68803541515598
x,91,4.739267108444412,100,73.42900280439315
o,16,80.74361980582555,20,76.21693847369531
s,17,56.07418197104169,28,25.76314169538243
m,98,42.53495963531865,17,12.002917401843217
z,37,37.42888244102419,80,43.134758719352696
a,80,67.62055533128455,45,16.528542146278657
l,7,47.08466377061179,79,96.21321758033676
l,96,33.442884471073356,98,24.571575113763945
g,66,54.2072404896796,47,22.151237220721796
k,43,28.002310457395662,66,16.56914075266768
v,9,85.21389519148617,19,74.55856622199536
v,56,74.52138461268811,49,52.98914713115709
u,81,78.80029144848434,52,61.282139177261996
d,40,80.15640370976212,56,94.81285463641444
d,100,91.78509639660471,9,59.99178890734647
o,80,23.61632498176325,53,76.12838445423688
a,59,36.55315811759262,84,71.0932219471892
b,96,36.261487316377064,5,55.22310660630551
l,45,11.455986424444042,87,17.665039942389672
r,20,72.04486559231978,83,71.52351429486298
x,39,18.84966230699787,20,84.41351262506159
j,54,96.99119006075347,51,54.648632145107086
m,80,58.142889387315,0,12.541953667387196
v,27,83.40934883252015,56,89.50790796916651
z,75,92.57079898769116,43,16.26212457507503
v,83,11.94691718898201,83,48.27972271019587
l,3,82.0267289377582,93,75.42497442613148
d,42,65.01993021284079,54,35.50137572184837
p,64,29.392335932516524,16,91.43202913228792
q,18,66.03803199205592,23,24.682843515259336
l,70,49.443817589279334,52,50.16700274598538
o,73,29.241927713888693,37,78.97661987676989
d,60,45.44763542984646,36,11.417666224515843
t,0,30.676065068768555,82,66.04383105038156
k,98,39.20940124515725,100,36.57404675934891
e,64,16.276711073142526,94,13.580687156654658
q,57,79.07959176544537,95,50.298010217692294
q,70,40.24330337904992,95,31.820881874704053
t,55,12.369621566418754,28,66.94204239653386
p,69,72.02480638286927,81,75.70885273692124
l,15,92.70375272485364,82,20.467756445879594
c,61,81.32261402571984,51,60.70051446686232
h,65,13.500935837972428,83,92.7991991585771
f,62,48.03420078984742,39,13.199624265352472
g,75,62.77026949035919,31,71.35482375078665
h,45,77.87602815552317,57,59.734632054881466
e,47,74.27719532511881,87,51.81735429518728
r,66,26.047576348188706,54,5.764263867309394
j,12,6.810906852539766,25,24.23582871078256
d,47,62.100158922846646,76,72.29506192307556
l,10,1.5606014485030961,76,82.09626776884681
p,23,64.10785122887688,85,29.24920663902918
w,5,83.3955290793131,34,30.058964799103414
f,71,92.34673072357027,79,80.85425063017811
g,5,5.187026447100463,95,26.94011685437485
d,58,51.94620400211335,61,22.683923989588905
c,47,12.924597073067702,39,67.36410031278898
f,84,93.42666835450146,91,90.08600995740434
i,4,35.17547612697606,69,98.31030331697767
d,42,6.8561659138982485,28,42.09564994523216
j,98,84.09728191778571,73,24.819631726196214
a,36,34.083983195881494,15,24.278500205714014
u,21,34.09019973492806,91,52.42662993770138
h,56,1.2437915373789132,18,43.439596747475406
g,53,46.32407943066096,76,95.37723106136984
p,53,39.672703541236466,79,89.35235379866882
b,39,54.109533642808216,76,96.46924667850172
y,76,38.37062719975955,17,41.81446990446563
o,9,22.034704470914267,71,53.022932479424156
e,46,80.17247802831989,26,85.68788465362826
w,66,55.9035883722061,15,95.22068866261118
f,90,16.050135276787024,54,19.706403121638573
o,99,20.968519460029,75,53.58932665567433
x,75,47.112848413443245,8,73.0092074506585
b,83,48.5302705219239,73,81.81535749264557
w,43,97.42290809161128,96,25.162852385796107
v,28,70.12743812608572,59,33.64240866828483
o,84,26.786153302619052,39,12.58650605432814
p,22,20.682178820389474,17,83.424621727061
l,45,70.23764727583071,42,94.9724851666312
u,86,7.174185003604128,79,70.40936984572575
w,13,28.143385887510263,84,69.41213991823653
f,69,27.633100860339088,4,98.03585524717123
y,44,19.99075708125385,88,13.851304622723937
g,37,43.550631368959536,19,45.80387137575826
u,30,11.73652680511198,33,96.27979503196794
r,47,30.247623077570584,97,86.88171032951318
k,22,72.74986106537195,85,99.54218005832716
h,88,50.30422692799446,24,36.44326056182954
g,52,17.574297612490362,67,96.27898457632084
h,80,65.99965194238851,16,6.502690555553836
g,38,52.10632443322256,49,0.15691616962192345
f,91,47.60460309118722,94,28.39553162462245
k,68,93.79559016672421,5,47.38233893210827
z,87,89.95052701704383,81,33.951071548049036
g,55,41.30602921847173,21,58.68320635757023
y,9,53.63882057822816,17,91.61122235062507
c,13,53.98558145717492,64,37.62085129280268
t,82,81.53133237019858,44,8.458259509303756
j,42,28.94124843312983,88,75.36489168861355
h,2,71.50407251101679,84,94.32312141006253
n,94,56.73598689168809,73,84.23813364383295
c,71,69.533580578833,43,24.622581564891654
k,67,99.6079260205418,84,72.19768517243142
a,23,29.598537266974787,53,23.46511591480117
d,84,19.954432722102776,42,6.649902346344438
l,14,82.59191447539168,80,22.329821145867246
x,92,66.80059305761465,49,1.3679148836418853
r,8,36.750875051642495,0,70.3184052470833
v,6,67.93443495333692,72,53.54433700482845
m,46,25.16487551328218,67,59.86159962945988
e,81,66.38988669498265,18,71.33500524634593
g,44,81.30229169801225,71,95.3555147983057
h,25,7.305450909207501,25,85.07396450690547
j,16,85.18659234436466,24,83.11837107088597
