C,L,J,Z,T
q,78,53.30596535373856,94,30.539688388182462
i,9,47.60177432772578,65,95.54558920225999
v,11,2.0059809593813482,7,90.93689875918645
b,46,21.413358115547354,10,53.55549480290654
v,3,76.28874077550358,48,10.885896785058335
p,42,38.10843006946616,25,84.98906225017598
l,43,37.67075752781557,8,46.86251244522375
r,0,88.27291646521424,68,83.30606951585706
g,29,89.9589125188142,81,58.39284177039217
h,26,32.2046415562156,54,63.51414527177174
j,49,25.353168025773076,83,75.57874408907975
x,63,29.754970130970992,95,42.479509236417954
d,34,1.4421018981911837,97,97.36809485368131
f,11,17.64275915488277,79,96.23289509566187
n,42,76.72723184453017,75,34.692239044588455
s,53,80.3962137444928,74,30.523786721201386
x,87,3.087343112354257,17,62.77240727941306
b,55,81.21191319961275,6,36.208778417302426
l,67,76.40316941142059,4,60.80963523296228
b,96,61.381868059459876,44,53.62396412267384
v,67,91.56068413586152,1,7.57235740109401
k,7,50.00340453585839,11,92.90654021975267
a,62,79.17753828141977,20,62.8619199973632
u,32,67.63934278827936,7,77.71301134967149
l,30,35.098934517659764,42,33.081067795475114
q,22,23.392254639091636,70,62.66620928901138
a,70,27.105752403373316,94,11.573987492609072
b,43,64.75439481972012,80,38.0354055666161
f,19,90.43353127852414,34,17.423736500064713
k,51,4.597776443770895,31,53.69770075356125
v,35,24.433112550852787,81,24.57467449753582
o,83,49.106343460975665,35,74.16543443944005
f,16,81.77422772172727,76,92.25122342657556
s,100,68.95992526651933,48,96.27921153969184
q,88,82.14548102677985,36,39.82476835324822
n,81,63.41387709078244,56,0.8063595661132239
a,22,27.43853423276995,24,2.874525912385062
m,24,78.71912226061207,87,19.996075415329727
k,78,36.81364019775293,44,35.37307079630906
v,98,33.42257792355389,2,12.304050052628835
r,89,82.91547884363649,64,57.07515141508153
w,79,53.72900159122269,83,55.39439998481966
p,71,49.26971651262516,67,93.91592879003693
s,12,81.26452143802861,79,19.828323976220076
c,3,51.000198902313656,14,88.65534481956232
u,29,52.28965918025531,54,48.24383900310247
y,53,11.270365655688197,80,25.19318674024066
v,35,89.4629424216466,77,35.492268980884724
z,97,8.465138944998484,7,9.707677561272831
i,96,7.7655166813390135,90,76.64781247098928
t,79,47.49723187105245,66,65.59975193683997
i,56,70.92870889788739,4,84.32539410488774
x,46,34.30711207425232,90,46.13772215651332
u,52,65.56678167847483,21,6.848666424820394
j,96,0.7304867512305968,25,70.31940558357547
x,92,32.32813020948886,29,53.72204087392154
o,56,45.737373184316475,72,83.0060668286351
v,73,81.40666927122155,11,39.11449578677876
j,69,71.20202948683738,7,20.63727560831985
q,12,18.180041844404816,83,4.360615724890716
s,19,7.829201813715525,75,83.88683845660888
h,59,88.5125805392883,56,40.569518210250834
z,36,60.622003964534954,50,82.72405547447396
i,10,25.031455784335765,71,10.901724920174082
z,67,11.337029417299071,9,42.207089226230465
x,65,64.14844576416375,79,94.7894528401885
j,86,65.95024735739852,42,1.7557246616640487
q,39,76.97438639856796,32,30.446126258792184
b,44,20.493486814013696,41,40.11566787035225
h,83,15.289325163334643,66,11.464577971294299
a,89,76.14247344666525,99,23.18309773663706
u,33,6.849134762007402,35,12.238535827822938
p,60,68.73862722738731,63,39.747052435403454
f,15,19.773576007888792,86,55.53549579801601
n,62,81.52555775560442,96,84.62445389732333
c,43,7.9618146300631025,1,83.1002383074858
f,10,36.68757363946797,68,34.72576547105941
g,13,33.89410724534321,44,65.23597666739465
m,4,71.06669204874495,35,89.95487477048168
s,84,35.21453661705839,19,15.560080711513036
c,19,75.39586822302267,72,86.26850314682348
w,37,47.63733285413172,49,14.532746411028086
q,50,78.10682544243642,90,80.2450006962466
c,88,7.353306289824435,63,85.15837023227692
z,77,29.504837135473228,97,86.84406064646825
u,79,43.410935332569714,6,35.673427369916524
z,44,5.799087184829732,40,20.08904101091251
c,17,17.892927975926053,40,42.892879735218834
f,76,2.578594665867706,27,41.210126477937436
h,23,69.88077663719103,8,25.163024529613722
k,86,69.88508566304357,32,6.5934447631514566
o,41,62.048705684271745,88,41.440402158467535
m,48,52.1771686529847,53,57.22787926439564
t,62,37.29095210331034,73,56.96129727276642
f,92,73.9524597804746,12,35.94833360301087
h,93,77.66228971823355,49,18.812729918580708
n,31,50.67649070448478,67,56.26224339519508
k,92,64.11251119522024,20,32.67461092473304
x,71,38.30740342328621,31,35.91496650444327
x,33,62.82410247999268,38,20.499811948480684
j,49,83.10170650592724,30,93.66652839008847
p,74,57.3879760472902,25,81.94673950921889
n,58,0.40542440429256477,98,43.58273268491811
g,45,25.35527003447192,47,8.662363677405182
a,19,54.439860268891536,58,30.393099939099343
i,89,24.260779782516163,77,34.51497543138081
l,59,67.9381907971582,27,22.445621443699427
e,92,23.480899451966806,76,50.73447977983352
a,23,58.94317073543741,65,54.71908469703579
d,87,18.216920559402872,30,39.58702674548555
c,67,85.5902444812309,33,45.22920973439339
u,1,42.29839038496597,25,52.14877780919216
s,47,80.99524776385819,18,14.521778597057711
o,40,70.11931186495514,76,98.53474073062782
l,38,95.47992880612483,65,83.90280415747272
h,93,95.05007193692697,79,73.1069443510164
c,5,76.8619663050069,67,1.0419732199507203
n,33,61.35443617082543,57,41.607993351299164
v,88,15.275653090235453,33,58.39144291055413
o,27,9.643855056421968,70,16.58002041725962
r,43,94.60965026087369,56,31.094908563739665
l,3,44.644576810410854,7,35.806107299603305
x,19,57.648261637748746,59,99.97163199362537
l,61,63.00132617771788,81,18.33675767624231
o,44,99.111911711847,51,96.58440023594855
w,94,23.816080717894504,37,20.680434334801244
b,74,31.344954126708902,10,73.62276186714752
i,46,18.683080396567718,83,57.451621316677794
v,97,42.804958540092784,81,59.25169890195531
p,64,85.45064605672003,28,96.98901991246662
g,5,27.471010721781962,22,3.9681234863205517
i,78,41.8550900115402,16,34.093991170419734
x,9,15.567927077839027,32,20.423056012177877
r,17,38.11376136515845,54,99.04356069010457
u,66,21.97929068272122,52,8.660966000466486
m,45,2.1788761111116273,88,9.904958698705435
c,63,47.07883909454878,34,52.71117575729149
a,39,11.021948954131776,38,32.64997450378786
i,18,7.382501562153498,50,62.810777049528134
z,78,66.89221772346524,62,34.07073386989398
o,84,21.445963012936364,76,93.07953673686605
l,60,37.40888380488754,74,55.988459399068404
b,71,54.7035577186317,15,95.26220344225781
b,85,39.57405840033753,10,12.66157968373296
x,77,15.369066978923861,39,5.028752131044079
z,34,18.90289062203917,63,67.24902192508755
h,81,87.43024478777548,69,4.327625274117663
l,61,17.54609249412915,67,49.54939777209167
v,35,67.94525467602291,35,11.006476814207023
