V,Q,O,T,S
n,89,12.987504204637524,98,86.43525369617952
j,43,96.08016699726896,0,13.501876589846596
v,88,68.91052889837395,18,18.943965909028194
y,72,63.46865765943712,49,55.97123908892123
t,49,25.840123614670553,75,10.663550369959596
n,81,9.687007685453342,94,71.77258675513627
a,62,93.45385286282078,96,28.25477636702124
q,35,70.43257961753761,69,44.736126650409716
r,27,58.16027994224259,64,9.714536201702217
y,14,48.9649768156698,97,91.56842873209338
u,31,12.534899100578212,57,58.505176075204915
c,91,56.46565499577999,75,11.019711136752397
k,6,40.922562041925225,96,9.537516839603699
n,82,55.52235206703748,74,98.31757510629629
h,69,75.00253388278573,7,90.18217542679908
p,73,72.83847766615207,77,18.572323185791483
k,92,26.513766382006253,66,34.60004908275472
g,46,47.23812138421618,93,72.75113374284523
l,63,35.57275035912917,49,16.423826406289376
s,30,94.34973058472733,58,98.5756085182295
u,19,43.77353484461045,35,69.49534622643279
u,66,36.900617811681016,63,78.89540815334898
o,5,29.119626501082607,87,75.55860608320363
a,91,44.505412489871446,11,43.89288320932967
a,25,3.0098337786855778,36,97.49604932931648
c,45,14.721489437071655,59,33.187079397011544
b,93,39.60726422798895,74,71.44906805770214
m,13,14.674961166169576,43,27.98903428654048
z,53,55.89041877003659,95,13.9280216257464
h,52,55.3305213392719,29,43.93143751897605
x,32,69.29166897940942,38,93.72519752110138
c,3,76.87427832498328,93,16.762746230203284
l,100,66.92454181531087,81,46.824478605505284
s,64,21.77218594885717,91,0.4077615496263287
v,6,0.7996450397088073,42,3.8242175483139795
q,10,73.92211783245685,22,62.59877374662028
b,45,53.190386224564264,76,12.672733055925123
h,63,10.837837896834445,24,35.356168286555686
o,5,85.99736972458899,61,50.058485371669
f,59,68.77005605369608,28,33.61198908496864
q,28,52.919851420962004,22,18.18427797550546
s,12,93.4137842114795,21,37.71791512799053
k,92,60.955851364648375,55,83.68338385731606
n,36,62.83529755805431,10,6.375583790507767
q,95,94.90288655959594,57,14.512829883874023
f,60,8.069582324687763,45,40.976190661306156
q,65,65.73301759527497,86,20.62403387560483
v,97,36.4609926058916,63,82.64986631306832
l,25,62.2617605660869,92,89.2730627953864
i,34,19.266678954769812,98,5.7616700816242155
f,98,32.627793853696716,75,80.25089330065703
x,78,90.23891210096436,1,9.078535302663393
y,33,69.75790546293265,12,36.74107958742122
s,90,76.44592678913853,33,61.656024923560636
r,79,77.14369018683914,18,86.9067051635248
f,54,44.530642687103075,24,74.94823352571868
z,70,26.661158401347606,92,91.15003814546007
k,69,96.01203909300926,22,78.25838887838954
h,78,16.533682582131693,14,42.63954711416249
a,3,42.60336309879044,31,17.52643626895638
f,78,59.884829929305106,94,87.2249406975652
i,2,78.52852847784304,71,52.62560440743184
z,55,46.75423453934402,79,64.80835615663638
s,77,16.053205605590826,39,30.912124118605387
v,69,2.815730728888255,90,53.82141967807066
j,50,18.26270440040182,31,74.50677148252468
u,7,41.93493164445413,64,51.291627989697965
g,64,38.011096103670006,48,16.252914526574568
g,81,38.740786635078784,85,39.24959797552678
b,63,23.816164145038776,88,7.284369405318403
p,6,66.86046942844524,1,59.34861372200846
u,88,8.877710482813427,10,15.07492261759511
y,99,40.742941538071754,89,66.50466065548817
q,66,98.51487862980025,7,72.57432356081691
u,72,43.03926192176246,48,65.34262988545078
b,40,4.252364501052009,22,74.92777489364487
l,89,0.1712123885592387,27,70.4549210628278
w,69,79.32682915965216,12,35.88872910806491
j,98,28.5468158154641,15,12.657829196769166
j,21,68.34354317709243,42,12.560610180063492
c,54,58.83596051309476,23,14.26788100424401
s,36,87.14823727905154,67,31.109528724029623
d,5,46.08514506616698,34,59.87694891514136
i,73,22.306867951210187,71,18.095785119250994
x,19,39.87908744366649,26,82.13304406830773
s,30,93.66751983251656,9,7.587290676388225
a,89,66.4836789535626,1,97.25655397103112
u,51,90.0721425621843,60,65.5630323322945
x,40,94.13486173737981,90,13.91938241921251
o,25,9.378826912495253,54,22.833522696600618
z,61,63.094085998492766,35,16.413653557478312
y,27,71.37421126567286,37,79.42708362200712
a,39,35.84034925399663,3,55.33169227974214
a,68,86.39636007495376,98,56.06307535910518
n,78,60.08545522348394,85,92.92441687481069
m,52,62.04564510310738,95,37.64960929626331
m,58,21.52793835951853,12,26.05098707274346
i,37,81.53886320857295,71,39.87845477915896
i,7,61.62211897930688,21,95.36553336321305
u,78,63.823626534177755,26,74.504987994904
q,58,3.9029716696796335,94,61.59631202497269
l,13,53.54516902075529,61,48.697212218405326
m,88,56.71163037201211,84,22.999074321001657
q,55,9.796275156905187,31,0.9220614409190864
q,5,64.62511780116323,17,54.757731319283465
d,28,51.13418912668042,87,62.421862911321654
d,57,5.250555764851173,14,28.282456675306065
a,57,32.15762483111967,57,81.82486730279139
q,38,48.32502313677729,82,86.1308330868608
g,58,44.43630419118778,29,42.71952027231593
p,1,24.62937246267295,14,53.05595666385721
a,43,5.060803609697018,93,44.40998053236179
v,46,46.0366615975878,76,5.406296449575654
x,62,68.46190160417753,41,54.666411867666056
z,51,98.43785936870255,2,25.81333003990024
z,27,14.469683424452596,90,44.8152870126983
x,11,26.786936197487076,6,47.619921905663574
d,33,2.3079193267255382,81,5.263772824069813
k,2,18.997602781827105,74,57.430207694717886
l,29,6.3492338679069,61,68.89974357065275
p,100,45.583048999483886,40,84.44768399996921
w,11,10.557244033847525,12,26.04628932800236
s,23,47.76302622988605,40,30.58700274764028
f,82,85.22670470097185,34,10.4541992924711
f,81,78.15477847521281,89,78.00261660241442
t,14,90.93978724802334,41,6.258165483911471
w,38,15.722483808899067,33,1.7890626221625738
y,17,80.03642797078282,29,95.35366982323605
i,49,11.856214229314565,6,38.317741042499456
i,60,83.98484115126095,29,14.281229505422477
t,32,26.579386036817333,34,61.480562308344034
t,87,68.74466295856276,17,28.066682047655135
d,9,82.20827778116147,44,88.56455779173987
w,16,17.86509763001327,83,26.086155349773243
z,71,46.90500594701794,33,75.19699043703073
b,81,57.87173229192657,58,85.1116365750234
g,41,43.70764260579134,59,68.20580269384784
o,95,84.06299734443344,90,14.159528030898361
u,64,82.05253718738624,19,93.51581688276084
m,91,99.1864267623153,97,70.28138118663593
s,9,34.30506799907238,95,34.998039743063295
k,53,55.709659118773416,39,45.176188030527356
a,44,0.11892490736267192,68,38.7479706092024
f,94,45.43936301610767,31,26.150773162323404
b,41,67.99553779102523,75,48.80741410305346
t,69,26.249826605503166,72,92.56408713413566
s,56,63.92612450644604,82,63.45464276635312
b,59,79.23692012129925,50,99.84794042459745
p,29,53.74023776919162,45,57.79282458159551
v,44,99.21044657909525,2,44.7860304591803
l,57,83.09688038028908,21,72.01112224483674
p,56,88.57416413371477,0,80.4645411503791
a,44,83.55783486755078,24,91.59343671646005
