Y,O,Z,J,X
p,36,77.79289624007305,52,11.713341993113868
j,46,83.50603762157411,62,77.40241778836615
h,65,10.273510081699788,52,30.521398426381865
g,75,33.08908756332679,40,36.2227917527022
r,83,45.64811096220159,58,22.324720256640575
b,9,42.605672483013215,88,84.93108090081817
q,63,48.32309927762941,11,60.09239762528371
n,69,18.443574008759512,28,84.78529826544946
t,69,90.7722639534164,75,27.836861762076925
l,77,7.8188043909152345,24,73.31372223929304
c,49,57.786890738083564,63,76.82361073520396
g,45,9.228182941765972,89,50.35685644050377
a,87,43.20538348665046,62,81.69864837765914
i,40,40.324077014100055,15,29.78033058639663
k,91,97.76685713109619,62,26.143114249531628
o,20,53.26662597934374,16,4.199545735220878
w,89,34.582084053177155,77,3.486844044874382
d,64,73.87328027333443,69,83.1229350201705
w,92,51.35889440953131,60,24.08627167302115
p,57,3.2330475027481653,25,18.060085024654793
x,41,32.37529251098369,24,55.905605901041596
l,20,90.84122592002541,23,65.44081423449664
g,20,22.409231279635954,66,6.512887454649197
x,88,52.968323949646376,83,28.07060243301118
q,90,87.0520462327612,85,51.66345790480234
x,7,78.03697282207654,31,32.66848378539583
q,68,67.2268837653805,81,21.244726252757363
q,27,68.35008830417156,65,44.72303084640911
u,58,63.051178391592124,44,84.42738132191387
g,54,62.41139090160183,11,78.6964714361712
p,7,77.22797745106743,6,41.54359155644104
u,89,61.59113364229889,80,34.96431936224297
n,100,71.18287323956544,40,27.826307218538858
f,41,86.99618434862153,80,46.57518940204896
f,32,90.0265827956213,98,61.71162355963883
f,91,96.57499325971399,68,4.8515229220681855
r,66,13.436818920001159,92,62.204706067836135
r,45,0.3725844387105992,35,96.94745798458104
h,23,89.5226552671597,53,24.684174742911637
o,49,22.82673711778638,5,72.14540872195326
k,66,7.78260227491624,12,64.52361771505407
w,1,23.388542328197993,19,24.068757118408822
v,68,80.642794263214,79,62.76506458863932
a,62,67.15530604687902,34,91.36082697013589
r,85,79.71245802400499,28,23.813937644750048
k,19,53.504235217842364,26,38.06624025691392
w,50,9.034324957253471,30,45.486857411071746
d,85,79.3780598611687,19,69.25070633295798
e,81,73.26140001959985,66,36.57685822253192
s,68,42.97276177545702,36,42.21468118363795
n,79,11.656302148704023,49,50.68323548067117
u,63,17.834744166270834,29,51.50235750362828
r,19,42.064163678524444,22,93.13476472512001
c,75,94.97531508092875,46,91.14114464067966
c,95,91.82075579530739,8,8.680798434965276
w,74,56.87387635834374,15,79.00027205309641
e,54,5.72673132507594,15,41.51966360252182
t,23,58.10623427542298,37,80.55229607082318
a,38,1.5654042795620882,98,45.36784672150904
w,24,10.195169337241772,26,9.301371281748928
w,91,31.693752536526134,89,8.436635182154273
b,60,9.128785433085929,50,71.86332758890028
c,92,66.29087301040951,16,53.1729358281679
x,95,40.19348950573739,78,22.30899710762554
u,35,70.65910474685721,78,66.09991096165409
e,42,54.46281059234871,38,33.14230179951512
l,1,87.32018106138224,30,76.7522651882796
s,65,66.10679747515702,0,50.181204551375494
z,87,96.19626573815874,93,63.43697149982736
d,41,52.711683135748345,33,51.501890844976685
e,31,89.97988508344238,73,84.68967749482368
x,69,64.05748359287611,20,34.48338782375402
d,28,37.138996871260055,44,85.19909423633732
m,16,21.259971391468834,52,54.8749230062514
y,15,29.790713111258405,30,75.18521365639832
j,37,46.8891054941702,54,59.57334707440272
m,51,45.99310183697172,100,14.427654241007737
l,56,90.98388253794911,72,34.91703900992614
t,99,19.001668429236616,66,35.44151856975333
k,82,69.42532197779549,8,98.41264982943929
s,40,79.79070610300262,16,93.99509253882012
a,72,25.3964023438792,73,12.97639989638234
g,43,15.535216430917654,16,16.924397313437822
d,23,17.787956824111497,19,15.345293302061691
q,30,49.875500713197795,81,64.10639400318699
y,14,8.77221434469403,65,99.94237243872998
v,27,41.04523685208462,85,97.82409377074669
m,26,51.038989576927506,38,46.959924575801004
e,82,74.6832922768837,94,5.950521471183001
x,69,91.17878119073151,14,76.22415971826231
k,57,39.103039631880335,90,56.443771174504896
s,90,36.42404856485557,93,58.871434153541394
y,16,82.89505718047391,9,7.088984487858053
d,92,48.439007502577944,41,43.93288126671443
d,66,20.852120253987817,61,94.54671075114165
m,41,52.658655085196216,8,67.30522577052054
o,69,61.676330117981756,40,37.81747603567474
c,73,8.863731187773439,92,79.44578693826563
i,41,36.106024223882095,85,42.18228920322197
q,0,58.9196128286049,98,77.25495515289064
e,37,36.93843591142959,65,17.569089277457195
b,81,19.207266689159297,93,71.113956876708
m,16,53.03324831012175,54,63.17196203321678
d,10,81.93849241866252,21,42.88356881829374
g,7,59.39798107888108,12,99.69442844842953
a,79,86.69837142769029,0,74.49370188359701
t,10,18.318114021396227,34,35.639762057059635
g,39,32.71715399036586,94,94.99431937218816
k,12,90.17977307170386,38,68.54112266571963
f,97,12.135239387839036,71,52.84690019047555
e,15,33.733408050320165,81,85.75239938605645
e,73,68.31185288747004,89,14.44581388434547
n,68,7.753783913708478,3,44.00081718497201
s,12,14.983137233303868,75,73.62603529711232
x,29,95.17273893925343,8,20.63087665680372
n,56,12.600911367276279,54,1.677739126276967
a,24,18.054144894417878,38,80.12872241370492
s,100,9.578905821336525,100,18.55803043246198
y,69,17.325250244431835,7,52.3618337697261
q,12,16.068934945432765,61,60.819821924618886
j,29,3.0739933226684335,39,6.668274214443059
t,12,51.66904356569573,28,70.84705361443169
k,29,37.14663450737291,92,27.997709404243288
z,53,81.66911866808884,99,52.794347760701285
p,4,61.92800766007613,45,58.36249348996028
u,27,43.77543186287326,89,31.02464393918082
g,0,89.93989744337927,5,35.40027551042637
v,88,56.17928157891754,74,30.629340148396476
p,100,48.838941129486,94,13.634120425447882
i,21,73.01640125367287,82,73.28547666197339
e,40,66.88147943107704,89,67.06802438990209
d,39,73.28691474151235,69,46.41217183763238
j,5,58.30532142736358,25,8.94070484844166
t,22,48.90237777587395,8,74.89535535787559
k,18,63.12508702637136,8,99.22209360922483
v,46,59.46400681684245,29,61.29465706522274
f,65,94.55890997153679,26,87.78712510082548
q,75,32.271886221493304,29,59.2836780682431
r,15,52.18514401011182,99,88.3426740936804
k,41,7.577423754560309,35,27.57377878557947
q,52,32.83105334354165,10,10.921696707013295
i,21,99.40449657383445,88,52.26661237154103
h,61,31.886886592464602,21,25.610425368054933
s,43,48.53603608899639,59,90.34653344895025
l,71,33.24068359246194,59,98.6512797653518
m,79,11.086730944900737,40,22.93276270199217
l,79,21.24493651652407,23,5.825917311720474
x,87,44.027562914830256,81,78.05136496336388
h,96,44.694519433996696,87,94.44016398339762
i,63,62.34729500133932,30,47.793775609534265
i,6,3.7139186202688967,71,47.730505197875395
d,5,3.155042169892164,7,67.16056162556964
n,7,79.02725859989572,24,65.9435158182917
t,84,76.75607856225393,33,66.87972415593917
p,57,59.92437144190944,59,9.832224096018594
l,37,16.818410454682763,0,4.057902510944489
y,85,55.18880348200603,42,64.21154743837741
e,62,68.68254583500271,52,59.03106501908121
u,12,76.03087331320896,96,12.984423646331255
n,3,77.11173788321348,49,2.187872630406662
h,68,1.3317322782571028,77,52.00038749525528
x,84,47.24425038888956,87,71.8603604562599
z,32,35.7942977982892,58,76.30942849567836
w,98,76.2064784943357,78,60.14697349145442
b,73,68.77849772304268,59,2.5896683912822627
l,29,87.3674743646236,24,71.48950025870758
l,12,68.37449913008167,53,14.153098239874806
w,82,70.11230938502902,96,48.461974620326586
t,0,91.10700778096741,78,3.266273235013273
t,86,40.90086236950964,82,18.516757320845535
h,41,53.21546183258029,100,35.73546662165449
n,81,86.30520447795605,42,35.388813002421216
c,50,90.62420976383014,1,75.13265647704984
s,73,19.970258878371496,57,8.995984662770717
q,70,36.34031173288219,72,21.78144247891398
g,21,6.783958984413319,7,10.345607598300244
q,98,16.247949671325113,2,60.7433405404051
v,39,17.40674900306359,70,24.384042122576577
u,54,70.33739479720526,32,21.079313622210783
j,74,88.36181183130809,21,8.117420737097468
p,44,49.103173926032504,72,63.24048728888306
r,3,98.62417069664488,82,8.863263821084633
i,59,4.855674105726704,0,84.18969996950707
m,94,89.11377220688172,45,1.9814111542285517
n,45,6.79124310382414,46,27.927412979756262
b,4,97.7029240727478,56,27.591041696980266
h,33,91.84379404263233,67,50.878321200156726
z,28,83.16913361862983,12,28.319852629613685
d,84,88.75113095117149,5,59.28197304392297
e,15,13.530060387240916,5,41.74912377938627
p,67,93.67234084702243,8,1.2551726592638812
x,13,4.455498152945802,19,75.0393373766918
h,61,7.490364033301677,26,68.58375579401249
u,4,47.879409815023934,91,20.450294901869913
c,76,95.70579476199376,98,5.603530489519015
z,53,24.188857138602483,82,26.270164272731243
a,11,83.04435335183648,15,11.958690101313096
f,98,12.190687236869568,39,87.83514548353378
b,4,93.75562222064809,82,37.43233746036017
y,85,29.87751238636186,32,0.3664394890485978
o,47,78.27381083474226,43,70.35062104129362
r,22,24.749313182051313,7,34.59443558930141
h,30,9.231199610796448,1,4.392386256558234
j,20,66.9878615327241,8,48.36749735508512
f,14,57.03413093940372,70,78.27808695081366
y,70,78.481667575609,54,65.35768337753134
b,100,31.389421255261276,63,67.90502676733048
p,97,22.206075502884858,24,8.727420451748912
p,12,6.490674041063449,84,13.03352748126173
q,97,93.54547628706123,77,85.4132881893544
y,52,26.141884355692923,62,21.061193910681254
q,84,9.85543191332009,43,96.75928964158503
g,38,69.91814346195416,73,58.47876008789393
z,30,41.88705238068427,32,57.362530017213885
o,21,8.15111165372836,37,19.046746265689595
e,36,37.77074015649175,74,45.57126876250312
k,46,43.9854336338359,34,87.599621618382
f,11,38.8397297106079,52,2.3748818726377463
h,34,83.85624083419297,85,38.90791235647594
b,52,89.03462222456743,16,6.269686697216814
i,94,19.678937545922114,54,64.63390838724693
x,83,5.227458708493171,98,6.513149819796393
i,45,5.007303120977502,95,93.56426178827867
r,63,81.39350331727003,79,65.13028362917454
i,89,57.079211192299276,43,90.60501121688496
e,8,10.797603394807641,24,95.79366512034395
f,70,98.52666239451531,53,25.311965170366214
h,37,93.0190119277243,53,61.5762063050834
h,34,52.00556316363012,38,0.4154637395186733
p,3,89.94459047832493,46,99.30018767876652
e,70,85.84959481141465,23,87.08204142190642
f,76,34.69810913385698,92,94.44635999687281
l,5,6.743567750801049,59,91.32519163295069
u,20,87.56190692074466,64,89.42052968954947
f,98,1.135306378405232,11,2.5711962445950087
d,2,14.666470300108159,13,24.55048185505426
r,99,41.285286575603145,37,55.39954792677994
m,67,84.91653319191435,26,69.4871705319844
p,85,41.34437157750958,1,74.20945440845902
y,69,68.2818013632771,66,27.41174350782194
z,62,61.35643068817064,72,28.074187039379982
p,91,79.89566148601158,37,99.97619109931458
s,93,15.17496007262842,56,6.780957226579987
i,23,96.78602497039655,24,84.60243820161148
n,46,94.0558574962516,21,92.48953451874021
e,1,56.98815553911067,18,45.3889961633977
j,24,77.94075981906032,87,35.84247134699663
l,11,98.6216954524819,9,93.67312852272963
j,77,48.86851025544693,81,44.136246746514885
c,25,90.05509382286894,65,13.330206635902965
g,7,7.383354639221807,71,66.16888943428529
o,47,61.594889814583176,23,81.75936766768132
d,56,78.14624274877598,45,40.57394004751578
c,74,6.45061981142534,89,31.59603653886035
t,75,14.118850814865846,71,33.272382252515634
d,50,74.15768445175651,68,26.312188771852796
z,23,87.42718571775593,90,8.666018364152928
w,17,26.985591037252366,21,39.11202125598226
k,72,92.65162632083982,97,89.18280958201619
q,64,54.54490997527724,57,98.77849151108705
c,6,86.1168752878493,99,81.44504458527186
w,29,1.4209238822271542,26,49.903799282545435
x,55,52.153171234799466,96,42.75047817554979
n,50,44.513292954245465,9,62.03746042967484
n,90,39.929190956616075,45,64.58804727005985
g,64,35.73166066327293,14,33.75270398769155
u,62,95.25152420533031,4,58.18379493179463
p,86,50.11929019077507,38,21.291774888501003
t,56,95.22002754036943,78,90.44213704818563
j,19,47.010412638257456,46,98.86442022644381
h,74,17.320846429389647,34,19.876501543952006
h,33,48.709847256642256,78,24.224569843206655
b,89,97.99926473837169,75,7.296810122588959
g,76,34.6251312689496,27,84.54088532914535
m,26,78.85155142836588,71,67.25926817373782
z,12,46.0721009014908,2,17.203562219744363
e,54,9.95677383582314,61,34.95980503737699
d,12,73.81570127286469,93,48.57127951601892
o,67,63.05039064953911,20,68.2026242586812
l,10,18.510604973183852,36,21.8707905822079
q,99,81.52143755979812,61,50.70329607337227
m,55,21.054325793626738,91,42.51566935847899
w,28,95.73185390606132,11,17.27373300405295
f,58,50.07607390976383,89,34.62423911931687
l,51,94.9966214285757,85,51.60172497538527
t,11,51.8883249634865,63,46.06740417340147
p,10,4.734092429057791,53,20.338176107904427
u,59,49.69334455474318,4,22.26252348210447
r,81,33.967493719460194,16,1.0513599059824963
j,52,49.43384383346778,56,73.94102707486645
x,13,14.91705357846962,97,23.903204309669
r,28,73.16914252019899,15,3.9416920934507216
x,41,55.146782778735,52,14.153641555299224
g,92,98.49175051983691,42,68.8314287929337
n,64,77.46529583647414,84,17.980536011319558
k,65,52.608607025695875,66,93.5639055189
a,33,80.8842099601159,99,75.50376330998722
a,21,76.57874645548515,97,94.81819984297115
a,16,73.3471056774128,66,70.31707875996706
y,57,78.00019763661238,38,46.826286121530316
f,11,46.040564538001206,49,76.75709947880573
t,23,72.41302334440611,99,67.15986517433586
h,36,18.893075742452247,77,24.104041970153233
a,93,88.28537158163195,4,85.6135680071356
v,64,36.80272956846111,44,6.633343467431341
h,25,38.054603420857916,80,69.09903670764717
g,73,77.07935489035049,83,17.377282605450674
z,17,24.359112464102417,14,40.661687393326964
b,7,42.68227663755402,15,19.52475660934071
l,37,94.53416042375345,27,77.84375716734823
f,37,67.74446300194768,24,45.68068489566247
b,5,22.853461095193083,98,34.61158403093211
i,7,64.60218070825827,50,77.30105619544962
s,94,32.1642116099077,89,31.201651376158225
m,21,27.357393053067458,80,5.850733470405589
y,51,84.68251098817218,46,5.214672974352119
j,1,7.147609003958566,65,42.90591536586624
l,13,75.02770221530452,93,79.44018246646492
b,85,68.32437983246564,37,16.0956905338147
a,45,67.28556316372196,24,97.04462662657102
e,41,23.775149059881073,12,23.91086870871286
w,4,95.80868269615928,99,4.43028059826781
e,60,41.53621296926118,35,97.98064612505658
c,48,58.736888465701945,86,83.41266062418973
o,68,34.50601782069113,80,45.64144656304846
f,83,88.38818910778096,21,30.679301945682724
s,35,64.35814907106283,8,6.507210391193907
b,12,8.198315181092397,70,41.65421923223832
j,92,72.13356509735148,52,49.72268393435794
g,98,41.10865961917997,49,58.369604504153415
e,17,52.63952464576962,13,19.825456239048876
w,12,82.758816153206,47,90.42616605535736
a,43,54.209479457215934,10,38.93310837025978
i,55,41.28620165617198,10,32.51058858308278
j,48,67.49477689782023,25,73.3830937047298
o,72,91.172921769262,18,67.89772887197117
e,53,38.426091409461606,18,77.03140270425567
l,75,83.29833086689293,1,91.12411717550286
m,73,12.823607623719758,13,11.543167286787249
v,30,13.472577122942631,49,23.752096853029457
y,15,74.51579952353778,73,61.5529302255572
s,98,77.71029506743142,27,23.28601912481485
t,32,70.3162277960068,57,60.63238675271588
f,14,95.66442889086998,0,19.48964648521048
y,62,29.965139925015805,98,26.75010699480248
t,72,41.34988573534093,23,49.22512267681053
e,53,70.4110665877291,74,84.11057935632576
n,13,8.342618212764375,50,93.76963647551838
e,12,24.633034897211882,98,97.24857599212832
t,5,10.707070049875112,4,41.192867069386615
p,13,65.86817433009702,12,29.440820793130484
b,37,3.6998188497587403,95,65.4731212881042
c,38,33.435246757046286,59,11.866758401914057
m,40,50.804217124219306,88,50.01186577111969
m,46,4.914406756975199,56,55.3367707593393
j,31,74.55009222207288,54,52.230665809672516
u,2,81.21846195174966,44,97.79366808033767
e,80,52.0571047637473,9,16.3625950224612
u,53,31.312854530411904,8,15.657741747197795
j,63,4.205652967052043,5,86.3260666446397
a,64,37.9176881762781,81,89.37842880031606
g,18,63.49488208595826,31,22.4377612481777
c,62,62.83142054563354,23,26.660005422798694
e,92,34.73586009036849,43,11.458888102996445
y,26,92.85880557330644,1,44.463507028036084
f,2,71.07937944488764,1,75.863572908795
l,69,26.6189112612338,78,33.95525310195946
m,35,1.5913945222308157,12,34.434816141228794
j,83,33.19710778748378,21,19.671189707792646
e,91,66.82093927243237,63,83.37694974738942
e,0,32.53193944879457,35,39.46158780791823
c,45,75.65378085369112,27,8.491292958642592
k,55,67.74125070764916,73,67.87849386992028
k,64,91.65508661048314,87,40.08912580219014
y,86,42.388771310397324,53,68.64390402136355
k,85,59.946354679238254,57,26.890284382738383
o,46,18.528190458709524,69,7.517384662227478
j,80,33.37901577877431,100,4.097800602778145
z,40,72.2581693379064,36,7.202842321324909
x,67,65.92087321289388,50,2.2529599098617514
a,67,5.198852429409795,83,57.401393794252876
a,25,13.615708065763387,85,38.155977326860246
u,16,71.44593943023251,9,2.238271556258342
p,78,61.92270841193559,55,69.0118815734985
l,35,32.50918866016117,74,60.812282529256024
x,59,95.88825682491004,87,21.900282294141327
i,88,29.504479119832837,48,97.40457081900507
u,4,43.28347700013596,28,3.0842865552042187
n,84,80.86508430940975,20,75.16893214162937
y,10,13.01041277104813,56,0.5387665131723285
a,13,92.84342248628586,14,95.61736110749254
p,56,38.42145903652682,50,96.98505912685906
y,3,7.439344896459166,72,35.60741142569934
q,72,43.941544263797475,74,56.92896349196158
p,96,77.9985260640271,84,10.410326246702173
m,80,32.812689652453855,75,9.102967419147346
o,100,12.742896976810048,64,76.9407089247505
o,14,95.44600966503783,95,39.34158861757987
n,79,18.485774252702747,45,33.609854154511176
h,91,83.3127943310126,36,7.182044573170265
s,71,57.445188583432284,95,28.899621877284133
x,71,36.24250169970805,51,76.57655444788428
x,31,7.565382174858892,32,70.29964646147621
x,58,76.50460943599951,14,93.50993891197635
t,88,90.26850641111707,58,39.924950512316805
e,15,36.66379439387536,96,53.91913087926178
e,15,79.84491180101469,65,98.44285524231363
z,98,82.22117062720632,25,78.99357417963775
j,28,65.24809974011542,15,60.21051780563652
u,70,97.96182737387315,33,19.426581140267352
r,85,42.82678350857418,36,56.958729151365574
z,15,8.79062253370585,3,21.033879766317053
a,47,34.98879377080676,15,59.530109133855305
b,31,85.80670364342976,17,74.23697395627765
q,82,10.945421849181436,35,38.8915643258252
r,58,83.74454386818711,53,42.32421667602154
l,57,88.96208179276564,22,69.35206547384351
f,28,59.556326695406966,23,58.06580484553554
d,51,12.239649605063384,80,99.4203812724041
r,30,81.28833819055107,9,71.86894654963412
s,67,74.87954953234393,8,28.822513567567164
f,41,19.235688008353748,33,1.4000578613600934
m,3,66.22718740810836,47,66.29807513231714
p,8,56.64080849183233,34,75.0640941619192
o,44,33.632112462126386,64,76.0565199546586
i,90,13.577613168837544,49,36.980481905062604
r,11,56.899143671684435,58,66.45203964879673
f,64,88.96912141445992,64,14.641582045401213
f,89,35.958726950124365,23,13.661970602058126
r,29,89.24187870621954,47,43.33245441666412
p,18,78.36875558149326,52,10.066710681746649
i,57,1.791543412696417,5,20.438216339442615
c,6,46.52244455927339,18,17.757365957829684
j,83,89.83257193367578,17,9.106445605151404
f,69,12.693698351628836,40,64.2808020493605
a,85,1.870044386016445,41,83.16996152115061
n,25,83.35903154563202,70,79.84842402374824
w,36,42.44418228384617,86,87.39736512133138
b,95,55.70165018832404,28,41.12242662758574
d,100,91.60234258193292,69,51.882482342261596
b,15,8.373298170178,85,15.009915679398478
r,75,51.730805295261675,49,31.450415056520043
l,9,22.107813890638994,88,20.18930238778368
y,22,51.05282648486139,87,19.43731052771738
j,64,11.401380117980498,73,81.99598915256746
o,10,78.72963931801667,13,47.57708901234925
n,34,20.22053916051989,65,84.2730273809933
h,22,65.13566933685641,75,28.460995636579568
b,47,50.83833767181047,38,35.27723095368833
q,24,43.09609896716998,87,65.42254946778942
f,95,23.24665569218115,73,86.1026052889437
m,12,60.43525203947229,34,11.354615702985015
x,23,79.48761669233869,8,72.00834578501002
m,0,64.18326023917899,94,55.08535373030402
r,22,1.1424117988726334,40,61.82981476615581
l,89,69.33665723317603,76,65.13584745907131
g,49,87.83011360028404,91,89.19580882929615
l,52,65.72980283222388,52,29.601124267692526
m,55,15.347865651857163,14,67.89581607005687
q,23,57.055823256151825,73,40.83219687324138
a,26,44.17448808579402,17,44.971120215846625
x,38,53.93717483577325,18,86.48143143540833
u,39,85.69994992163224,37,66.35672417054481
q,6,6.8079197562253775,12,5.737150953998993
n,8,16.060788370285607,20,82.42998918431567
b,12,85.04294843052281,56,91.9782407141158
c,61,18.65567004130215,7,84.81870946056098
x,43,85.92859413048993,26,5.209416054611749
j,51,1.5291209541396733,12,71.67811249395885
e,12,44.6144847049186,1,2.869558108500536
b,44,10.72371683792558,47,64.99889710609442
t,12,56.52462971665994,94,66.5292620049287
a,84,91.09510394179974,63,6.763783521042144
k,15,23.123702230372565,84,43.11874553911446
r,55,81.63179544764759,36,53.46197255748729
o,95,8.00488263429603,22,58.64344305726251
i,44,48.394537991027775,77,60.933892566926836
m,30,25.115985960238195,69,98.61262885163966
x,90,11.509973088684777,97,40.3307400644166
c,8,0.2555089086565099,78,50.787001324662626
g,49,0.7524883027494766,7,57.09943727823942
z,21,76.11119767979157,70,52.592387666278626
i,83,35.706716818897,77,13.602150529280287
r,26,74.49955986453605,20,43.408913630253124
v,95,55.51530713076504,52,48.26075507083066
q,18,89.8278921473549,95,12.344649499843774
y,21,43.38991140793295,21,72.60758646341552
t,88,84.68550976133093,58,95.8183665399882
g,95,80.71387182563696,97,41.0797383072972
f,51,72.04922468779554,34,16.689524898083008
k,38,42.219658966418706,47,47.30633867112968
a,51,20.428687587364923,12,88.8716074064153
e,24,11.026711840182134,74,51.71161690207534
c,80,67.2881395204523,19,24.178969006858576
s,98,49.70536944194372,48,86.85079647787404
q,6,22.358177575841744,76,0.44742783964869526
w,68,26.866971957194096,97,76.48802005751006
o,36,27.19348762283087,15,83.81765532862332
f,40,23.139728858712004,89,66.16440522106336
o,65,60.30827503499052,43,99.84288398079596
p,22,38.93388196283338,13,40.650957106722686
p,90,37.77652708168873,5,53.43680923942665
o,53,81.03096322435168,30,46.69194519628225
e,73,43.92155314646649,98,52.76813523028376
l,93,30.534625662530612,93,44.267099111895334
x,66,59.192700164449775,53,66.00502149913189
c,15,80.34887633663314,93,16.587677644616782
n,82,65.50967689938346,88,54.4137936372506
x,87,78.26242715583227,81,14.954387763875044
m,95,79.10982656595348,67,37.53275362639482
k,26,33.9129895651602,83,81.41757985977111
q,30,40.398929815897574,52,11.595436761799471
o,90,4.769281003878056,25,43.16767923235854
h,7,0.9038993248365879,3,39.90294327669559
s,8,17.132467061069633,14,55.37539941027918
p,75,20.03215343863013,40,7.5750991282403035
e,32,1.1946327290118575,36,68.69941062229155
z,32,38.36137152930218,28,66.48661100667272
e,15,73.55896668236758,44,48.186642598979226
e,98,36.14246088999609,6,36.7342989074398
y,59,66.18439572348743,94,8.394408813849951
d,32,88.77740193141867,99,75.50801625828778
z,56,23.930502626710947,14,6.85202498984252
g,14,46.21614079687279,51,92.63305096175748
x,50,75.01164986728858,54,71.50200023031326
c,52,68.105216902129,90,32.77247402374911
s,83,14.296205536042706,71,76.1279483142369
n,21,10.475416887349386,63,28.39931906174312
d,43,4.178761815813326,85,7.908635008025056
y,70,96.51146708929075,15,55.69560100757529
