U,O,S,G,P
f,81,24.155915468498424,48,74.17280214362229
y,71,63.5206854456351,80,1.096543991360377
h,68,96.22684629541186,47,73.71479113177689
x,25,70.9357418591986,8,51.876582785846416
n,79,56.559869475777006,86,72.93503285107442
m,99,70.01889018897953,94,87.18056496756853
b,71,95.12145973442011,44,85.76490368882436
o,9,32.49924446377184,73,62.34583538887427
q,57,65.87878394865417,41,99.67437463980097
f,98,69.37099197669674,60,10.224266547597537
o,52,98.63520090118635,61,2.1224071539646006
m,55,88.90747031442532,9,80.29159575692705
d,13,56.22881080428144,91,39.05214883135072
y,33,87.04738796357621,8,64.69290494178215
a,62,48.27038054037376,22,59.9684713022198
a,46,24.504320096764374,21,51.548931990970225
w,41,79.40366738182976,94,37.93132765324422
k,41,14.330296551148258,25,88.5777710349388
p,52,62.536909251155016,61,63.60620294623832
o,73,72.61898885141883,68,49.544680864531685
g,55,65.86211609486843,24,71.7704804050616
x,56,35.29865140953661,49,87.50638634841515
q,83,67.10666376674473,16,97.16985448254343
g,21,35.376062630342716,45,96.79727833310697
m,98,95.87569349498722,98,2.556093445355667
k,54,78.12961866182377,75,62.87248056283826
c,52,45.73508424639795,12,57.28894363150094
x,27,82.70474400661541,1,67.51211446117156
r,26,27.508241893805796,45,23.2618005716123
h,22,8.46400063747399,87,71.066650572112
z,51,87.23582452047744,93,16.48889199034731
p,27,28.147571521038394,74,69.89865418474628
w,93,58.42021188587716,0,63.84086828324782
p,61,43.55618656578446,57,55.96097947402533
l,23,46.510410082756316,73,44.03707854617951
p,51,76.29666489696612,25,5.505600647909759
q,13,80.47224573741948,34,16.103587909734006
p,68,97.93329392162859,66,44.02425549368847
n,19,90.10199706603017,97,86.272174477198
s,95,34.50276521134968,19,2.9055155541531597
c,79,61.10609035338139,11,44.825836610026606
d,27,91.38299170081554,57,51.25658682350645
b,99,83.05397242360404,4,79.40378331995514
o,22,38.46232262131226,36,89.92868236747042
p,8,97.62022096987862,2,51.448390795665155
j,70,64.32122065199717,32,1.0670897726258288
d,75,95.27310643701054,67,35.33311319476372
s,50,82.38188146905614,70,72.99994027613049
i,59,33.1597867751494,91,65.84566462553673
a,20,99.50172322729475,85,52.51173661329381
p,14,20.794260082888382,41,37.24934218519995
f,52,78.89768676359017,75,64.26224293649658
r,24,3.3656181021200493,0,29.73549116841604
y,88,52.071239619502954,57,4.737573430763886
u,18,2.9701803530864823,22,43.545238302595465
j,15,91.82035256469572,81,56.9470541486782
d,11,66.7168840285802,94,10.267636443979978
z,41,46.96369083141799,28,80.0027871393466
c,71,59.28650829245393,49,23.619351181545323
j,34,51.128612896759776,93,24.088899616954617
c,58,60.01358649855819,47,39.13714503682462
x,40,78.40204911624433,85,60.68841405157303
y,4,5.68077105397119,92,90.79300192644712
l,45,44.35322751826075,53,40.75084277825152
e,80,5.827028902469477,5,46.06940416161495
m,66,71.53594469328836,16,59.64448913263751
o,12,90.75063684294344,53,50.01286378908464
f,44,34.608285902545255,76,1.2931404221656728
i,1,67.61436976124804,73,38.71061755827291
i,53,75.54178760313499,46,8.1400134164914
p,87,57.24281174212329,6,30.52074119892213
c,85,69.02392695647525,25,60.782421528307616
m,68,2.2486497442338105,79,1.1629288956311878
f,29,17.531789512271434,23,59.50519133808038
v,100,16.310223720327567,36,53.219166406378015
o,5,22.64974412594354,1,48.88081107661536
j,69,97.46609153861915,96,40.51876094724721
n,60,5.342567613590898,92,95.34166724369656
t,6,1.2589529461384474,9,15.683672637594793
l,50,38.974375230918525,5,59.06804516487365
r,47,60.989587313349894,6,23.209298330331197
x,69,85.33934273906954,47,74.81644235159142
n,94,60.29416128226577,58,81.31025027121558
u,82,59.19916486611332,94,61.67218237425154
l,48,61.643968692074594,59,39.56830416634291
e,36,16.35657271574632,16,77.19070097505193
d,73,60.764601805015374,33,34.30907828618185
i,23,25.47224552525529,77,67.42327582683714
c,31,6.88205309916845,95,73.53454785355375
i,0,97.58785169322897,25,22.95255014129094
m,0,96.7280481829869,57,48.67655877205185
f,13,33.5273619802014,77,84.5841255108412
a,69,40.79568912182955,26,76.94227272166378
b,27,1.600563148561096,60,74.52382937114056
d,72,55.50267875400474,1,88.40230992214715
p,95,26.543494740263785,37,56.53178700260882
h,77,22.539105649748926,82,63.32046488484557
f,54,55.00986357673627,2,94.01911722166417
