Z,X,C,O,G
v,31,28.574826083995507,81,96.60914248781796
a,37,34.22877284890821,18,65.31340136964403
j,62,24.90895190165481,76,97.18715914614168
l,1,51.79025158101186,5,88.54076404321111
p,38,21.6704205670168,1,46.56907206687143
r,28,32.960022533430056,98,41.46830791940004
n,89,8.787027037974514,12,92.94751879686795
o,45,52.71234882383962,97,28.447702340887705
x,50,2.0265368475419265,74,26.840137083809847
b,94,12.560807764858827,83,10.927962216723996
e,47,32.561966286861264,92,86.84885681453682
u,0,58.443326093991885,41,90.83920009194725
v,84,94.25652952460938,31,14.56691625325317
n,76,47.924258920191896,59,88.6934894025943
t,32,20.372417071324932,92,65.81000864241435
b,12,99.17287730600302,97,96.40093304183688
i,0,76.5795047853784,66,51.62938298707659
l,82,88.85424839217268,2,90.99697182849745
j,56,25.919096325156676,87,7.362792541515906
x,51,19.8161768088982,99,15.756721259282214
t,36,89.50905914276383,66,3.089832321350039
a,86,65.88015309326886,25,52.52010040172244
v,27,15.237098940505621,67,10.282506072128417
r,32,73.912371806529,13,90.95244357927254
q,75,53.9207340458636,73,9.666923763088164
u,52,88.46670052726391,99,28.01087672086244
u,67,30.572060543545334,29,15.999910519846217
y,17,55.572640999518875,26,0.33551778318910985
v,6,82.66586952581035,62,81.38512195255736
s,69,29.96798226604168,81,9.30708906719705
m,75,78.07976066975446,8,42.34193640491291
x,13,47.19787803239719,62,62.58613887315706
y,3,65.03292087889176,19,41.716707094527415
y,65,70.70358053108,25,92.44466053896136
t,69,7.952484476931132,94,63.553095294208596
b,56,70.94618467779226,60,6.678198027208849
f,9,45.357837585240176,31,83.64651137201103
z,59,23.174359279723898,71,72.30758155613012
e,97,54.57067034455394,21,5.712836256338449
v,84,54.50293417604127,49,73.77496174904348
c,86,86.04491730748607,23,58.41398197949918
w,54,83.1888969553427,56,89.08305771445805
x,6,63.43833772476304,3,60.3471372916655
d,25,8.811873432877604,50,46.138658429093546
o,77,86.52602552606854,5,98.31724114140108
u,31,50.64100690778219,33,78.51754928100235
r,61,72.42831772066052,77,16.475977674921683
d,59,98.45809327038326,32,10.032588416876532
e,4,97.65202929674355,73,88.36214781741955
h,79,56.07815137223612,87,51.218573869533714
q,71,88.79975683767766,80,87.60652169494797
d,64,55.892201225039095,36,24.760228019963428
k,42,14.999763856078163,60,11.701393916765246
c,58,28.09072463832959,90,68.99566432032704
s,70,68.93906292159272,64,43.02669688396568
g,63,55.09266444126332,18,71.82328867144349
s,24,36.12228009298263,19,68.87176763941693
x,82,76.28885199625476,95,43.237975588590814
m,48,38.22542620676018,81,12.65381570111942
a,61,29.66142429538319,81,80.34800436919328
k,45,46.96818772190029,56,8.300740440850829
r,100,20.708572127389658,17,79.96433107889067
k,29,20.635864556457793,69,11.647945403112525
g,68,80.80429639982056,12,58.975858346051446
z,84,4.430227359928285,100,40.14841196403748
i,83,50.62764370184103,8,66.56463561669918
m,20,13.201243802456975,23,39.968438153153706
t,80,19.448029688642965,56,62.982240888631146
d,53,90.80586635545276,0,64.57085271250834
j,76,84.94464206629772,31,83.81187861384166
q,83,31.934985794003968,35,90.20316166879162
a,49,49.87129251814597,40,72.38919457293844
w,19,54.494538127674716,26,98.70026864193746
l,10,2.228630182952651,48,86.36481410908277
h,75,24.433031476759805,2,47.34984463698589
s,68,23.82578702366337,55,57.512416665546496
s,83,82.99179005518953,51,57.189184215137004
m,72,76.54878049556292,58,83.33449772341389
w,66,12.083041460370136,64,35.5407235371199
u,46,26.343184988859434,40,87.14498365526892
h,96,25.114075575694994,88,98.64292646828409
j,50,35.6209184389772,59,46.1552913144611
w,16,31.575308003635815,37,80.73075359522997
i,25,99.09848232707947,12,52.53600567130029
j,83,4.943507971368078,27,1.725513083059893
c,19,46.455924487619306,43,82.25444785746403
t,88,11.671025749941666,22,85.15538534944372
h,62,61.88696297292087,83,34.924980684788956
k,95,29.05183940635854,49,65.41969482306318
j,42,58.797812786014156,85,45.60977260571091
d,29,54.74758383004944,48,18.487147070761488
n,3,61.14306881545749,28,54.77246366134728
u,79,90.30064342523288,88,52.51755840870537
b,51,17.86471177975986,53,87.26976440978474
m,94,23.111138714051826,13,29.99580766868002
a,15,56.85340061838239,100,48.123172669884525
h,93,29.848174032660747,26,28.7622203266353
i,69,93.75720931398776,89,75.0474736322174
e,81,48.06393768677586,35,44.593916697815274
t,78,79.08497145243318,87,80.65035246891887
s,70,3.0332338212251786,62,86.2164267241997
z,80,80.34210584677164,27,87.77589785439814
t,87,2.8880830497899357,87,16.87286651169049
v,33,32.803949122506395,4,9.575912732122916
f,63,29.09793750858568,60,10.09491792286813
o,32,13.058547864842751,82,99.54822369307065
f,56,81.9195622288402,52,32.115583352548306
