Y,L,P,G,Q
i,36,75.0814905230377,12,80.07890198657537
q,44,40.52337133421423,86,3.5715424269460616
p,89,70.837696786084,48,35.74643094815837
b,16,97.67974330275453,82,88.60253520751672
w,1,47.84017108777464,56,19.526128005573074
h,19,66.73615738818938,13,57.97273932356043
j,74,7.926816357266309,17,89.07960355179037
i,70,12.686029889219741,78,22.242139449987075
o,34,66.20317527703276,15,88.57334646626903
x,7,36.65935730537919,23,17.5340881595747
y,34,42.03842219596569,31,85.95062572097251
i,19,59.011171648889174,76,24.807156081273995
z,70,59.11577244835527,58,1.7269479315452196
r,28,90.43036524881187,67,85.76441862661426
w,99,77.18991730627802,63,32.269776591463504
r,70,78.21189671030535,41,32.28093858546855
v,88,72.90565399164271,96,80.45491750340962
v,5,24.92793024625857,32,48.102181645120204
o,90,81.77945316885013,1,83.18938756297085
c,49,81.85129977819078,8,17.786051818509062
x,27,84.0604953608053,75,70.81188775722761
x,10,93.14701311975709,12,89.96514010545278
c,4,2.0890644099374245,32,35.94086205884284
a,95,89.52279249435406,86,74.0554450092376
p,21,38.575781247427386,65,70.66610130298717
r,46,86.15914959158954,85,14.553926410871798
x,17,80.7955405049182,27,98.27507135534658
s,14,0.5326518432976601,32,58.37275751106588
e,42,54.33684056129159,17,83.10183346750767
n,67,83.21972847684356,21,59.82115366988956
l,83,74.58960063566722,4,7.808714315398557
l,76,73.4795814356819,98,5.854448786027067
u,96,40.71763530996226,65,3.55180834045985
w,57,46.390738631619264,86,34.672940871978184
u,2,58.51977724727653,3,7.295627014755823
t,51,29.590193641190144,51,1.4765442257391515
o,27,51.24841038099224,63,69.14282143998908
x,66,36.20886861804895,77,39.5289535523602
y,42,33.075245350921854,39,49.59582705173064
c,80,54.70647252305461,27,7.8326048385840235
i,68,95.5014907869235,3,60.40272582074381
y,66,45.32622811647996,96,2.0069991296692957
q,4,9.837370039740168,23,97.83738372291756
u,65,38.61929220877533,55,15.295944655219774
z,18,8.88157773416436,13,30.26543654934174
r,98,60.93364259154984,0,22.284613286490096
f,82,98.73726431354775,96,48.74920307291995
e,96,58.12152443266769,89,20.32325216295787
e,1,10.99853139781356,54,47.37443868165943
z,49,87.21293083402264,91,67.14705547942818
d,45,56.95574974429187,43,70.78206611387438
